 ,Label,Area,Mean,Min,Max,Angle,Length
1,,8.483,121.102,116.333,126.333,-135.000,8.238
2,,22.622,96.966,84.667,110.667,-102.804,21.904
3,,65.979,85.423,78.000,131.333,-105.038,67.354
4,,47.128,81.482,70.000,124.333,-109.179,47.284
5,,46.186,67.381,60.333,84.667,-91.193,46.611
6,,64.094,72.016,61.632,115.726,-88.290,65.076
7,,51.841,69.067,58.667,91.000,-91.061,52.435
8,,63.152,78.252,68.000,125.333,-98.746,63.848
9,,63.152,74.764,67.045,103.667,-103.191,63.819
10,,63.152,63.156,55.333,120.333,-118.124,63.848
11,,49.956,49.316,39.333,131.333,-107.745,50.968
12,,50.898,78.939,70.000,122.333,-131.186,51.602
13,,57.496,93.012,81.667,116.333,-129.560,57.927
14,,54.669,85.356,73.000,129.333,-139.289,55.074
15,,54.669,86.561,75.000,128.333,-137.121,55.645
16,,47.128,93.781,84.667,119.333,-135.830,47.373
17,Mean,50.663,81.036,71.480,117.524,-113.960,51.188
18,SD,15.436,16.375,16.805,13.865,18.204,15.852
19,Min,8.483,49.316,39.333,84.667,-139.289,8.238
20,Max,65.979,121.102,116.333,131.333,-88.290,67.354
