 ,Label,Area,Mean,Min,Max,Angle,Length
1,,34.992,125.743,2.599,179.000,-45.988,53.266
2,,37.099,142.281,134.787,172.000,-44.534,56.474
3,,35.413,135.052,114.000,206.000,-43.531,53.735
4,,35.413,115.506,103.410,146.000,-43.059,54.207
5,,26.981,141.557,130.698,157.709,-29.407,40.993
6,,37.099,137.443,129.126,172.000,-39.382,56.283
7,,33.727,143.146,131.708,164.000,-41.934,51.495
8,,21.079,143.513,110.000,181.000,-58.241,32.073
9,,22.344,159.593,147.337,184.000,-48.918,33.594
10,Mean,31.572,138.204,111.518,173.523,-43.888,48.013
11,SD,6.357,12.344,43.081,17.151,7.671,9.760
12,Min,21.079,115.506,2.599,146.000,-58.241,32.073
13,Max,37.099,159.593,147.337,206.000,-29.407,56.474
