 ,Label,Area,Mean,Min,Max,Angle,Length
1,,9.765,180.089,154.000,190.219,66.801,7.933
2,,7.595,201.333,174.000,218.000,99.462,6.336
3,,15.189,173.611,69.000,204.840,71.565,13.175
4,,17.359,171.568,119.000,189.000,42.274,15.485
5,,6.510,174.840,163.000,180.640,53.130,5.208
6,,6.510,162.653,133.000,180.960,36.870,5.208
7,,2.170,166.500,166.000,167.000,135.000,1.473
8,,6.510,167.200,155.000,175.000,101.310,5.311
9,,8.680,147.571,111.000,159.000,81.870,7.365
10,Mean,8.921,171.707,138.222,184.962,76.476,7.499
11,SD,4.691,14.463,33.774,18.239,31.624,4.318
12,Min,2.170,147.571,69.000,159.000,36.870,1.473
13,Max,17.359,201.333,174.000,218.000,135.000,15.485
