 ,Label,Area,Mean,Min,Max,Angle,Length
1,,20.541,128.277,123.983,132.481,104.036,7.363
2,,15.406,96.853,95.426,98.002,116.565,3.993
3,,10.271,80.981,79.968,81.993,0.000,2.525
4,,20.541,99.086,96.753,101.585,45.000,6.438
5,,10.271,67.824,67.428,68.221,-90.000,1.786
6,,10.271,45.930,45.848,46.012,-90.000,2.525
7,,15.406,47.719,45.129,51.098,90.000,3.571
8,,10.271,59.456,59.003,59.909,90.000,1.786
9,,10.271,27.904,27.832,27.976,45.000,2.525
10,,10.271,25.989,24.596,27.383,90.000,1.786
11,,10.271,99.637,97.475,101.799,90.000,1.786
12,,15.406,102.191,100.000,103.749,-63.435,3.993
13,,20.541,93.449,80.384,102.660,104.036,7.363
14,,15.406,98.462,98.297,98.754,0.000,3.571
15,,10.271,100.182,99.482,100.883,90.000,1.786
16,,10.271,77.222,76.556,77.889,90.000,1.511
17,,15.406,62.481,59.889,65.000,135.000,4.273
18,,10.271,45.000,41.444,48.556,90.000,3.022
19,,15.406,59.370,53.333,63.444,153.435,4.273
20,Mean,13.514,74.632,72.254,76.705,57.349,3.467
21,SD,3.907,28.489,28.007,29.043,72.834,1.854
22,Min,10.271,25.989,24.596,27.383,-90.000,1.511
23,Max,20.541,128.277,123.983,132.481,153.435,7.363
