 ,Label,Area,Mean,Min,Max,Angle,Length
1,,93.888,119.222,111.062,144.000,104.931,36.483
2,,143.593,55.984,43.788,87.605,101.310,58.473
3,,220.912,74.934,67.410,85.747,104.744,92.091
4,,254.049,72.088,61.509,89.492,81.158,106.590
5,,204.344,60.077,47.688,72.885,101.310,84.984
6,,226.435,38.852,30.092,58.643,71.114,94.299
7,,243.004,44.854,37.128,67.648,90.000,101.869
8,,231.958,36.676,26.697,55.240,81.469,95.599
9,,204.344,28.407,22.553,34.081,91.591,85.205
10,,198.821,88.250,79.001,108.232,93.270,83.416
11,,204.344,85.671,78.804,96.633,102.529,85.366
12,,248.526,79.919,68.898,112.088,86.100,103.968
13,,248.526,92.578,84.259,109.444,121.185,103.852
14,,248.526,76.902,63.558,92.718,93.900,103.852
15,,248.526,65.260,55.156,84.882,115.408,104.379
16,,248.526,49.959,40.891,78.186,87.397,103.852
17,,215.390,32.171,21.040,50.986,115.201,89.504
18,,176.730,21.235,1.883,66.349,84.472,72.436
19,,132.547,52.015,45.687,63.775,116.565,53.029
20,Mean,210.157,61.845,51.953,82.033,97.034,87.329
21,SD,45.074,25.513,26.522,25.852,13.865,19.662
22,Min,93.888,21.235,1.883,34.081,71.114,36.483
23,Max,254.049,119.222,111.062,144.000,121.185,106.590
