 ,Label,Area,Mean,Min,Max,Angle,Length
1,,77.319,121.107,114.450,131.000,26.565,31.529
2,,165.684,63.456,51.487,105.674,24.775,67.128
3,,231.958,79.620,67.973,114.334,11.310,96.616
4,,243.004,73.832,63.693,107.640,-1.332,101.869
5,,237.481,67.462,50.842,108.124,1.364,98.166
6,,243.004,41.375,31.260,96.264,-17.592,100.752
7,,276.140,50.900,38.301,93.448,0.000,114.815
8,,243.004,44.383,30.869,83.459,0.000,101.852
9,,226.435,37.814,31.751,67.740,5.711,94.897
10,,165.684,61.572,46.822,98.545,0.000,68.544
11,,182.253,21.352,8.487,63.777,0.000,75.926
12,,237.481,41.524,29.090,83.510,17.592,99.553
13,,243.004,53.452,39.054,84.655,9.246,101.091
14,,270.618,68.973,56.443,108.014,13.173,112.293
15,,243.004,78.710,63.456,119.143,10.784,99.880
16,,220.912,91.804,82.344,112.554,21.251,91.475
17,,226.435,87.567,76.488,123.335,7.306,93.496
18,,215.390,88.082,77.629,123.804,18.435,89.600
19,,209.867,91.692,81.858,126.427,7.696,87.743
20,Mean,218.878,66.562,54.858,102.708,8.225,90.907
21,SD,45.326,24.268,25.216,19.400,10.792,19.091
22,Min,77.319,21.352,8.487,63.777,-17.592,31.529
23,Max,276.140,121.107,114.450,131.000,26.565,114.815
