 ,Label,Area,Mean,Min,Max,Angle,Length
1,,9.299,101.710,55.002,135.801,-90.000,2.788
2,,9.299,95.137,54.801,117.024,-90.000,2.788
3,,6.199,114.194,110.075,118.313,-45.000,2.494
4,,6.199,108.024,107.903,108.146,0.000,1.763
5,,9.299,129.665,87.250,158.391,-63.435,3.943
6,,9.299,123.645,96.695,139.433,-45.000,3.179
7,,6.199,157.124,156.207,158.042,-90.000,1.247
8,,9.299,154.603,149.599,164.328,-63.435,3.943
9,,9.299,110.136,55.940,171.012,90.000,3.635
10,,9.299,104.546,70.980,124.437,90.000,2.645
11,,6.199,110.841,90.769,130.913,-90.000,1.971
12,,9.299,110.801,81.996,130.531,-45.000,3.179
13,,6.199,108.987,85.199,132.774,-45.000,2.494
14,,9.299,142.903,103.557,173.553,-45.000,2.788
15,,6.199,121.176,87.197,155.155,-45.000,2.494
16,,55.793,170.396,57.326,206.522,-40.236,30.026
17,Mean,11.042,122.743,90.656,145.273,-38.569,4.461
18,SD,12.030,22.186,30.591,25.885,55.747,6.857
19,Min,6.199,95.137,54.801,108.146,-90.000,1.247
20,Max,55.793,170.396,156.207,206.522,90.000,30.026
