 ,Label,Area,Mean,Min,Max,Angle,Length
1,,77.490,50.517,18.250,193.000,-85.236,42.400
2,,80.589,40.561,30.386,46.087,-48.180,44.300
3,,74.390,49.612,42.149,58.534,-55.620,41.096
4,,96.087,47.665,28.074,85.124,-57.381,52.335
5,,80.589,53.484,40.592,102.028,-61.390,43.414
6,,92.988,37.681,26.033,57.271,-65.225,50.491
7,,80.589,84.892,68.806,108.137,-64.440,44.580
8,,77.490,50.895,36.261,161.005,-82.569,41.669
9,,55.793,82.865,60.504,161.810,-90.000,29.093
10,,77.490,119.152,106.305,129.689,-60.255,42.646
11,,89.888,39.664,27.168,82.609,-62.526,48.496
12,,77.490,38.157,28.102,49.097,-56.976,42.801
13,,86.788,92.548,75.814,131.804,-52.696,47.090
14,,92.988,62.193,42.824,157.012,-60.751,50.874
15,,80.589,54.170,39.474,71.146,-56.310,44.274
16,,92.988,91.819,74.995,114.209,-56.310,51.118
17,,83.689,62.689,51.531,128.496,-43.363,44.901
18,,58.892,82.321,60.100,115.334,-59.036,31.169
19,Mean,80.934,63.382,47.632,108.466,-62.126,44.042
20,SD,10.836,23.381,22.853,43.225,12.257,6.171
21,Min,55.793,37.681,18.250,46.087,-90.000,29.093
22,Max,96.087,119.152,106.305,193.000,-43.363,52.335
