 ,Label,Area,Mean,Min,Max,Angle,Length
1,,55.793,63.735,27.588,192.000,6.710,30.136
2,,68.191,52.412,31.452,175.823,46.848,37.424
3,,61.992,59.675,37.617,114.036,36.254,33.327
4,,74.390,54.337,36.614,149.129,32.276,40.840
5,,55.793,67.749,46.164,159.720,30.964,30.091
6,,68.191,50.315,35.000,150.968,24.228,37.507
7,,61.992,98.195,82.660,148.555,23.962,34.303
8,,61.992,65.507,38.780,169.833,3.180,32.667
9,,52.693,97.273,64.902,204.037,0.000,27.330
10,,55.793,127.372,115.962,148.291,28.072,29.200
11,,68.191,45.264,32.802,153.569,25.346,37.507
12,,77.490,51.714,32.821,164.939,25.463,41.809
13,,65.091,100.901,89.004,131.473,32.905,35.702
14,,68.191,60.026,47.208,93.500,31.430,36.743
15,,58.892,62.282,45.208,98.964,35.538,31.057
16,,74.390,100.354,78.755,149.728,30.964,40.371
17,,58.892,69.786,53.845,148.181,40.601,32.512
18,,43.394,83.219,75.531,113.456,38.660,22.040
19,Mean,62.853,72.784,53.995,148.122,27.411,33.920
20,SD,8.624,22.958,24.892,29.496,12.638,5.139
21,Min,43.394,45.264,27.588,93.500,0.000,22.040
22,Max,77.490,127.372,115.962,204.037,46.848,41.809
