 ,Label,Area,Mean,Min,Max,Angle,Length
1,,27.547,83.451,62.917,99.000,26.565,6.428
2,,18.365,78.833,71.667,86.000,45.000,4.285
3,,18.365,71.208,68.750,73.667,0.000,2.143
4,,27.547,55.889,50.333,59.333,63.435,5.463
5,,18.365,60.125,52.167,68.083,45.000,3.388
6,,27.547,61.611,58.833,64.000,63.435,5.463
7,,27.547,46.250,38.333,52.000,45.000,5.463
8,,18.365,42.417,38.667,46.167,90.000,2.143
9,,18.365,65.917,64.167,67.667,0.000,1.515
10,,18.365,69.458,68.750,70.167,-90.000,1.515
11,,27.547,94.347,91.500,96.208,135.000,6.428
12,,36.730,111.917,108.000,114.000,-26.565,7.576
13,,18.365,75.292,71.750,78.833,0.000,1.515
14,,18.365,56.000,44.000,68.000,0.000,2.143
15,,18.365,58.833,58.000,59.667,45.000,3.388
16,,18.365,50.833,45.000,56.667,0.000,2.143
17,,18.365,57.417,56.333,58.500,45.000,2.143
18,,18.365,64.667,63.000,66.333,0.000,1.515
19,,18.365,56.083,55.167,57.000,90.000,2.143
20,,18.365,40.625,39.917,41.333,90.000,1.515
21,,18.365,53.167,52.000,54.333,45.000,3.388
22,Mean,21.426,64.492,59.964,68.427,33.899,3.414
23,SD,5.301,17.212,17.071,18.001,49.042,1.957
24,Min,18.365,40.625,38.333,41.333,-90.000,1.515
25,Max,36.730,111.917,108.000,114.000,135.000,7.576
