 ,Label,Area,Mean,Min,Max,Angle,Length
1,,73.459,94.574,90.714,99.000,-45.000,21.427
2,,192.830,75.861,67.253,109.500,51.340,60.339
3,,275.472,38.655,30.096,41.667,59.036,87.050
4,,275.472,40.928,34.767,54.333,51.953,86.375
5,,284.654,26.203,8.727,39.167,51.633,91.824
6,,275.472,53.660,44.003,58.511,69.677,87.248
7,,312.202,49.196,42.977,63.667,67.249,99.883
8,,321.384,11.630,4.599,67.380,64.983,101.694
9,,266.290,46.191,19.833,55.868,79.875,84.982
10,,275.472,6.120,4.000,33.667,69.677,88.670
11,,202.013,52.699,41.667,69.667,60.945,64.460
12,,91.824,79.783,72.167,100.500,-90.000,27.272
13,,156.101,70.588,62.167,90.500,-111.801,47.552
14,,211.195,57.174,43.333,61.043,-153.435,67.758
15,,257.107,58.241,53.833,65.333,-150.524,82.125
16,,238.742,25.890,18.333,30.084,-133.363,75.117
17,,257.107,19.747,16.386,25.917,-142.696,81.211
18,,293.837,44.658,41.376,53.333,-142.765,94.886
19,,284.654,5.430,4.000,19.333,-143.130,90.007
20,,293.837,51.225,46.671,61.778,-137.603,92.950
21,,293.837,50.870,47.149,58.667,-135.000,94.279
22,,257.107,49.603,45.569,70.481,-131.987,82.901
23,,247.925,64.954,59.522,87.889,-136.548,78.579
24,,220.378,37.120,26.126,102.444,-136.736,68.626
25,Mean,244.099,46.292,38.553,63.322,-48.509,77.384
26,SD,63.382,22.718,22.942,25.049,98.538,20.840
27,Min,73.459,5.430,4.000,19.333,-153.435,21.427
28,Max,321.384,94.574,90.714,109.500,79.875,101.694
