 ,Label,Area,Mean,Min,Max,Angle,Length
1,,165.283,44.459,28.532,88.667,-45.000,51.425
2,,211.195,68.631,61.000,88.000,-48.814,65.958
3,,220.378,55.609,47.264,69.407,-48.576,68.626
4,,266.290,52.529,48.667,58.407,-53.531,85.255
5,,238.742,7.651,4.000,23.630,-54.462,76.793
6,,266.290,49.297,42.738,67.333,-53.531,85.255
7,,284.654,24.073,15.541,49.000,-57.381,90.209
8,,247.925,30.715,23.103,78.333,-49.635,80.198
9,,247.925,60.440,54.111,73.148,-70.201,79.226
10,,202.013,43.614,15.565,59.116,-64.654,64.202
11,,128.554,69.638,66.249,79.111,-32.471,39.844
12,,91.824,74.109,68.023,86.444,12.529,28.569
13,,55.094,96.311,92.400,103.778,-126.870,15.778
14,,128.554,77.960,69.218,107.000,-38.660,40.403
15,,202.013,34.781,14.667,44.333,-35.838,65.054
16,,220.378,46.979,35.912,66.259,-46.736,70.010
17,,238.742,30.793,9.187,51.356,-31.759,76.233
18,,275.472,58.363,53.414,69.852,-24.775,87.639
19,,266.290,52.123,45.921,77.259,-25.641,84.098
20,,257.107,14.130,6.000,51.444,-21.801,82.531
21,,202.013,47.522,24.134,55.721,-25.346,63.707
22,,220.378,5.667,4.000,20.667,-30.964,70.677
23,,174.466,51.352,41.667,64.000,-40.601,55.875
24,Mean,209.199,47.685,37.883,66.620,-44.118,66.416
25,SD,60.717,22.480,24.480,21.632,25.079,19.797
26,Min,55.094,5.667,4.000,20.667,-126.870,15.778
27,Max,284.654,96.311,92.400,107.000,12.529,90.209
