 ,Label,Area,Mean,Min,Max,Angle,Length
1,,38.121,134.657,121.953,142.528,-63.435,6.556
2,,63.534,153.678,118.513,167.633,-36.870,15.428
3,,50.827,154.910,147.531,159.552,-33.690,10.602
4,,38.121,172.650,168.612,174.797,0.000,5.455
5,,50.827,168.779,151.386,181.348,-33.690,9.091
6,,38.121,127.063,120.140,133.370,0.000,5.455
7,,38.121,124.115,119.262,128.787,0.000,7.273
8,,38.121,141.529,136.198,145.715,63.435,6.556
9,,50.827,138.680,134.385,142.135,56.310,11.642
10,,50.827,141.237,132.051,147.354,45.000,11.642
11,,50.827,141.588,135.897,144.873,-45.000,9.091
12,,38.121,146.721,140.557,151.786,-45.000,6.556
13,,50.827,153.143,150.288,155.724,26.565,9.791
14,,38.121,138.343,136.316,141.404,63.435,6.556
15,,38.121,151.463,148.094,153.631,0.000,5.455
16,,25.414,137.989,135.044,140.935,90.000,3.636
17,,50.827,159.953,153.559,165.386,18.435,12.197
18,Mean,44.100,146.265,138.223,151.586,6.206,8.411
19,SD,9.116,13.340,13.881,14.350,45.715,3.124
20,Min,25.414,124.115,118.513,128.787,-63.435,3.636
21,Max,63.534,172.650,168.612,181.348,90.000,15.428
