 ,Label,Area,Mean,Min,Max,Angle,Length
1,,330.378,92.028,80.360,130.000,46.637,88.257
2,,317.672,150.417,140.068,174.179,38.290,85.474
3,,254.137,156.944,153.565,163.643,-32.005,67.076
4,,254.137,145.574,140.000,160.867,51.340,67.051
5,,241.430,122.673,118.477,126.781,-54.462,62.562
6,,254.137,46.791,31.005,108.889,-56.310,67.076
7,,317.672,120.137,109.325,144.961,-25.463,83.814
8,,317.672,134.581,123.668,164.400,-19.983,84.521
9,,304.965,107.121,91.207,154.459,-32.276,82.322
10,,304.965,124.536,114.524,151.452,-37.875,82.642
11,,292.258,122.928,113.814,146.634,-37.405,78.939
12,,343.085,97.090,84.314,132.864,-21.801,93.207
13,,330.378,117.190,107.042,148.887,82.875,87.952
14,,266.844,114.984,105.195,124.377,106.699,71.927
15,,254.137,107.570,92.667,129.990,132.879,69.473
16,,279.551,119.479,113.000,132.836,131.186,76.385
17,,292.258,31.735,19.036,68.705,155.772,77.353
18,Mean,291.510,112.458,102.192,139.054,25.182,78.002
19,SD,32.543,32.632,35.096,25.003,73.076,9.077
20,Min,241.430,31.735,19.036,68.705,-56.310,62.562
21,Max,343.085,156.944,153.565,174.179,155.772,93.207
