 ,Label,Area,Mean,Min,Max,Angle,Length
1,,203.310,38.833,9.680,120.000,-58.392,54.412
2,,216.017,101.355,91.009,126.467,-47.490,57.868
3,,216.017,108.290,94.057,145.661,-52.431,58.550
4,,254.137,132.005,123.643,146.169,-62.103,67.493
5,,241.430,85.806,48.206,159.311,-83.991,65.857
6,,241.430,124.730,119.000,143.076,30.964,63.036
7,,203.310,45.463,32.438,81.597,36.870,54.968
8,,254.137,123.616,109.265,153.953,62.103,67.665
9,,241.430,132.649,122.000,154.026,63.435,64.257
10,,241.430,110.956,92.813,148.808,53.746,65.100
11,,254.137,124.415,114.352,145.049,60.642,67.665
12,,241.430,99.905,84.613,139.695,77.471,64.897
13,,266.844,108.868,86.326,161.546,92.726,72.818
14,,266.844,120.399,111.043,134.956,180.000,72.727
15,,203.310,15.824,0.120,81.005,-114.775,53.721
16,,241.430,20.830,0.000,94.892,-119.358,64.282
17,,266.844,70.998,46.563,121.333,-122.905,69.591
18,Mean,238.440,92.055,75.596,132.797,-0.205,63.818
19,SD,22.250,39.195,43.676,25.510,88.605,6.004
20,Min,203.310,15.824,0.000,81.005,-122.905,53.721
21,Max,266.844,132.649,123.643,161.546,180.000,72.818
