 ,Label,Area,Mean,Min,Max,Angle,Length
1,,21.871,132.375,104.000,145.000,-56.310,7.541
2,,30.619,161.079,142.000,169.222,-51.340,13.392
3,,21.871,158.300,154.000,165.000,-26.565,9.353
4,,30.619,167.429,133.000,176.000,-18.435,13.227
5,,26.245,181.653,159.000,191.080,-36.870,10.457
6,,8.748,140.000,131.000,149.000,0.000,2.091
7,,21.871,157.150,147.000,161.250,33.690,7.541
8,,8.748,187.000,177.000,197.000,45.000,2.958
9,,21.871,181.275,178.000,185.000,-33.690,7.541
10,,13.122,177.667,160.000,188.000,26.565,4.677
11,,13.122,153.667,151.000,157.000,26.565,4.677
12,,8.748,162.000,161.000,163.000,45.000,2.958
13,,8.748,148.500,138.000,159.000,45.000,2.958
14,,13.122,144.500,140.000,149.500,63.435,4.677
15,,13.122,157.167,144.000,180.500,26.565,4.677
16,,13.122,137.500,117.000,156.000,63.435,4.677
17,,21.871,122.112,117.000,129.750,-45.000,8.873
18,,13.122,138.167,136.000,141.500,0.000,4.183
19,,21.871,147.550,146.000,149.219,45.000,8.167
20,,13.122,147.167,146.000,148.750,45.000,3.770
21,,26.245,139.548,125.430,150.330,-59.036,11.311
22,,26.245,151.487,143.180,154.840,-53.130,11.311
23,,13.122,128.167,120.750,134.500,-90.000,4.312
24,,13.122,122.167,119.500,127.000,63.435,4.677
25,,8.748,131.625,129.500,133.750,-90.000,2.338
26,Mean,17.321,151.010,140.774,158.448,-1.267,6.494
27,SD,7.196,18.344,18.355,19.377,49.703,3.455
28,Min,8.748,122.112,104.000,127.000,-90.000,2.091
29,Max,30.619,187.000,178.000,197.000,63.435,13.392
