 ,Label,Area,Mean,Min,Max,Angle,Length
1,,179.338,91.061,75.000,131.000,48.013,84.412
2,,183.712,146.974,136.245,160.254,29.055,86.131
3,,174.964,157.754,143.865,170.133,-30.466,82.499
4,,174.964,82.698,51.302,149.000,53.427,80.730
5,,192.461,144.499,137.671,168.000,49.686,90.514
6,,170.590,38.664,2.956,153.000,-144.638,79.502
7,,166.216,131.988,109.808,177.667,55.886,78.310
8,,166.216,105.933,87.690,160.000,38.418,77.411
9,,174.964,103.670,88.615,147.000,41.878,81.459
10,,166.216,128.910,115.787,163.000,17.447,76.730
11,,113.727,133.386,114.000,166.006,33.690,52.785
12,,166.216,73.682,35.535,137.909,15.524,78.142
13,,148.719,74.810,49.206,112.000,58.736,68.508
14,,174.964,37.311,20.081,112.000,-27.216,82.313
15,,179.338,64.174,38.906,112.231,-28.496,83.291
16,,157.468,127.537,117.318,142.000,42.709,74.003
17,,179.338,101.614,84.312,132.000,49.086,83.028
18,,157.468,123.180,114.120,138.749,49.574,74.180
19,,179.338,120.153,109.000,138.000,-53.130,83.657
20,,153.094,105.946,89.595,145.000,-54.462,71.965
21,,148.719,121.818,114.000,127.140,-52.431,68.604
22,,166.216,50.367,24.869,138.753,-62.745,77.637
23,,174.964,120.808,109.249,139.000,-32.471,81.807
24,,161.842,129.970,114.981,145.579,-22.989,74.971
25,,166.216,100.268,82.156,139.000,-29.358,76.787
26,,166.216,122.284,109.893,139.072,-27.255,77.637
27,Mean,167.057,105.364,87.545,143.980,0.672,77.962
28,SD,15.204,32.855,39.098,17.592,51.263,7.261
29,Min,113.727,37.311,2.956,112.000,-144.638,52.785
30,Max,192.461,157.754,143.865,177.667,58.736,90.514
