 ,Label,Area,Mean,Min,Max,Angle,Length
1,,144.345,85.307,69.500,189.000,-41.186,66.697
2,,166.216,147.999,138.165,187.000,-57.171,77.157
3,,144.345,157.164,149.531,176.781,-124.695,66.137
4,,153.094,137.449,121.557,151.626,-40.236,71.232
5,,139.971,107.373,88.254,144.000,-47.603,65.137
6,,131.223,107.093,88.460,145.000,-46.397,60.652
7,,157.468,133.891,120.471,146.000,-67.891,72.238
8,,100.604,125.130,115.727,144.000,-57.724,46.999
9,,144.345,25.814,0.000,67.000,61.821,66.434
10,,144.345,68.140,42.148,124.000,61.821,66.434
11,,139.971,129.307,119.444,143.280,140.194,65.339
12,,144.345,103.960,79.453,132.000,138.814,66.697
13,,144.345,122.193,112.545,145.990,143.842,67.349
14,,153.094,122.294,108.277,152.000,36.529,70.273
15,,144.345,110.526,91.469,141.000,33.690,67.867
16,,131.223,124.002,116.864,134.000,38.047,61.083
17,,131.223,47.473,34.342,104.000,30.964,60.975
18,,148.719,123.389,108.785,149.000,62.650,68.285
19,,153.094,135.680,119.940,161.000,67.249,70.305
20,,135.597,107.336,90.920,143.000,64.290,62.673
21,,166.216,128.618,104.068,179.468,60.642,76.787
22,,170.590,104.957,80.632,153.000,86.987,79.585
23,,144.345,96.694,83.000,107.263,-32.196,66.730
24,,139.971,77.791,59.055,155.000,42.397,65.137
25,,126.849,30.920,15.566,60.000,21.038,58.261
26,,118.101,11.330,0.154,53.000,59.421,53.444
27,Mean,143.000,102.763,86.859,137.977,24.435,66.150
28,SD,14.937,38.242,40.401,35.089,69.781,6.957
29,Min,100.604,11.330,0.000,53.000,-124.695,46.999
30,Max,170.590,157.164,149.531,189.000,143.842,79.585
