 ,Label,Area,Mean,Min,Max,Angle,Length
1,,10.035,176.389,171.333,181.444,-90.000,2.361
2,,10.035,95.833,93.667,98.000,-90.000,1.493
3,,10.035,104.611,102.333,106.889,-90.000,3.079
4,,10.035,118.889,116.000,121.778,0.000,1.493
5,,10.035,162.000,162.000,162.000,0.000,1.493
6,,5.017,174.000,174.000,174.000,0.000,0.747
7,,5.017,130.333,130.333,130.333,-90.000,1.056
8,,10.035,130.833,127.000,134.667,-90.000,2.240
9,,10.035,134.278,132.000,136.556,-45.000,3.079
10,Mean,8.920,136.352,134.296,138.407,-55.000,1.893
11,SD,2.212,28.947,29.148,28.855,43.732,0.840
12,Min,5.017,95.833,93.667,98.000,-90.000,0.747
13,Max,10.035,176.389,174.000,181.444,0.000,3.079
