 ,Label,Area,Mean,Min,Max,Angle,Length
1,,425.069,118.208,85.894,174.534,-90.000,190.576
2,,449.221,84.123,76.013,99.971,-90.630,201.906
3,,439.560,100.843,77.264,115.400,-88.727,198.205
4,,468.542,133.653,118.037,161.840,-88.210,211.408
5,,468.542,98.976,69.026,158.816,-92.951,211.635
6,,410.578,115.666,90.476,163.000,-89.318,184.628
7,,449.221,114.012,20.700,141.096,-91.868,201.977
8,,449.221,109.861,34.327,123.603,-89.377,201.933
9,,473.373,109.632,24.537,135.687,-88.229,213.294
10,,463.712,111.735,30.578,129.678,-87.563,207.773
11,Mean,449.704,109.671,62.685,140.362,-89.687,202.334
12,SD,20.296,13.132,33.096,23.931,1.712,9.356
13,Min,410.578,84.123,20.700,99.971,-92.951,184.628
14,Max,473.373,133.653,118.037,174.534,-87.563,213.294
