 ,Label,Area,Mean,Min,Max,Angle,Length
1,,376.766,116.143,98.909,182.000,-0.744,169.245
2,,386.427,93.426,72.000,156.514,0.000,173.594
3,,371.936,127.246,103.701,193.794,0.744,167.944
4,,381.596,130.443,71.376,202.054,-2.899,171.966
5,,376.766,111.475,84.537,190.854,-1.488,169.915
6,,381.596,116.234,89.000,186.617,-0.735,171.718
7,,434.730,134.158,31.901,248.627,3.215,194.680
8,,400.918,124.382,28.519,208.107,0.000,179.255
9,,429.900,131.357,25.933,233.400,-2.573,194.497
10,,405.748,137.223,34.350,212.088,-4.185,181.623
11,Mean,394.638,122.209,64.023,201.405,-0.866,177.444
12,SD,22.547,13.191,30.871,26.231,2.088,10.002
13,Min,371.936,93.426,25.933,156.514,-4.185,167.944
14,Max,434.730,137.223,103.701,248.627,3.215,194.680
