 ,Label,Area,Mean,Min,Max,Angle,Length
1,,43.942,94.778,89.778,99.778,-90.000,3.125
2,,21.971,89.333,89.333,89.333,0.000,1.562
3,,21.971,105.778,105.778,105.778,0.000,2.210
4,,21.971,100.778,100.778,100.778,-90.000,2.210
5,,43.942,203.000,202.000,204.000,0.000,6.987
6,,21.971,106.667,106.667,106.667,0.000,1.562
7,,43.942,137.204,133.407,141.000,-45.000,5.633
8,,43.942,132.778,131.889,133.667,0.000,3.494
9,Mean,32.956,121.289,119.954,122.625,-28.125,3.348
10,SD,11.744,37.150,37.126,37.278,41.226,1.982
11,Min,21.971,89.333,89.333,89.333,-90.000,1.562
12,Max,43.942,203.000,202.000,204.000,0.000,6.987
