 ,Label,Area,Mean,Min,Max,Angle,Length
1,,9.661,187.750,184.000,191.500,-45.000,3.108
2,,9.661,197.000,196.500,197.500,-90.000,2.457
3,,14.491,201.417,197.750,204.000,-135.000,3.962
4,,9.661,200.500,195.000,206.000,-45.000,3.108
5,,9.661,206.000,204.000,208.000,-90.000,2.198
6,,14.491,193.833,183.500,199.500,-135.000,4.662
7,,14.491,203.333,201.000,206.500,-116.565,3.962
8,,9.661,223.000,222.000,224.000,-90.000,1.554
9,Mean,11.472,201.604,197.969,204.625,-93.321,3.126
10,SD,2.500,10.385,12.181,9.576,35.290,1.038
11,Min,9.661,187.750,183.500,191.500,-135.000,1.554
12,Max,14.491,223.000,222.000,224.000,-45.000,4.662
