 ,Label,Area,Mean,Min,Max,Angle,Length
1,,227.026,161.749,150.000,199.267,-68.429,101.612
2,,231.856,147.767,138.206,173.576,-60.709,103.004
3,,260.838,156.673,132.000,212.283,-72.582,117.475
4,,260.838,155.914,141.613,200.613,-64.398,117.307
5,,260.838,156.465,151.191,168.000,-110.807,117.557
6,,236.686,168.152,163.000,178.000,-118.706,105.242
7,,280.159,159.254,149.754,186.000,-92.010,125.352
8,,135.249,192.491,186.778,210.000,-143.973,59.787
9,Mean,236.686,162.308,151.568,190.967,-91.452,105.917
10,SD,44.795,13.486,17.058,16.909,30.330,20.466
11,Min,135.249,147.767,132.000,168.000,-143.973,59.787
12,Max,280.159,192.491,186.778,212.283,-60.709,125.352
