 ,Label,Area,Mean,Min,Max,Angle,Length
1,,140.080,165.227,151.204,187.000,25.641,60.947
2,,154.571,155.455,145.317,190.148,30.651,67.639
3,,140.080,146.475,133.424,163.323,24.775,61.693
4,,154.571,163.713,150.550,195.388,22.479,67.639
5,,149.740,162.330,150.000,186.640,-15.945,65.064
6,,159.401,178.564,167.000,203.492,-28.179,70.928
7,,169.062,162.368,140.887,239.088,-3.366,73.686
8,,82.116,191.562,184.212,200.612,-52.431,35.098
9,Mean,143.703,165.712,152.824,195.711,0.453,62.837
10,SD,26.676,13.813,15.934,21.395,30.526,12.003
11,Min,82.116,146.475,133.424,163.323,-52.431,35.098
12,Max,169.062,191.562,184.212,239.088,30.651,73.686
