 ,Label,Area,Mean,Min,Max,Angle,Length
1,,491.222,123.146,116.679,132.333,-51.843,90.530
2,,620.492,129.642,123.478,143.001,-63.435,114.477
3,,465.369,104.535,98.471,130.333,-42.510,83.927
4,,491.222,132.276,119.130,139.333,-36.254,93.219
5,,620.492,141.276,135.681,163.333,0.000,118.654
6,,413.661,142.326,137.831,161.259,28.301,75.074
7,,542.930,127.186,121.333,143.444,5.711,102.046
8,,517.076,120.380,111.228,134.333,42.879,95.997
9,,568.784,119.731,115.130,131.556,45.000,105.492
10,,439.515,130.788,128.333,133.448,55.305,79.443
11,,491.222,114.388,105.382,132.000,76.759,92.103
12,,698.053,122.485,117.624,139.667,57.529,133.035
13,,542.930,129.056,127.288,133.228,90.000,100.013
14,,439.515,121.618,108.417,129.625,97.595,80.306
15,,465.369,130.547,127.333,142.333,-125.538,84.149
16,,336.100,132.858,129.667,140.778,-122.471,63.462
17,,568.784,129.915,123.333,134.095,-127.405,109.159
18,,542.930,109.230,99.916,124.222,-107.526,101.311
19,,594.638,123.660,115.167,137.000,-123.690,113.304
20,,568.784,126.454,121.715,134.444,-109.290,108.314
21,,568.784,130.558,127.333,141.333,-109.290,108.314
22,,646.345,127.245,124.333,132.333,-77.735,119.679
23,,517.076,135.872,132.333,142.778,-74.476,94.139
24,,491.222,123.682,120.506,130.000,-163.610,92.212
25,,568.784,131.687,128.333,144.222,-177.397,108.803
26,,542.930,131.229,128.858,135.889,-156.038,100.400
27,,594.638,126.108,115.138,138.000,-136.848,110.285
28,,542.930,127.283,115.213,137.333,-135.000,100.735
29,,465.369,122.807,115.170,153.167,-122.735,84.626
30,Mean,529.557,126.482,120.357,138.442,-53.931,98.731
31,SD,75.888,8.134,9.741,8.825,85.356,15.154
32,Min,336.100,104.535,98.471,124.222,-177.397,63.462
33,Max,698.053,142.326,137.831,163.333,97.595,133.035
