 ,Label,Area,Mean,Min,Max,Angle,Length
1,,180.977,133.887,130.833,137.889,-45.000,32.381
2,,361.953,128.099,123.485,138.333,-45.000,64.717
3,,310.246,131.415,127.333,138.333,-33.690,54.659
4,,336.100,123.433,119.722,135.000,-30.964,59.707
5,,387.807,120.662,111.398,144.556,-12.095,69.490
6,,336.100,134.026,128.333,152.333,-14.036,62.894
7,,361.953,128.023,117.045,150.000,-51.340,66.447
8,,310.246,125.897,120.578,135.000,-41.186,55.338
9,,258.538,118.351,111.580,133.667,-35.538,43.740
10,,284.392,135.082,133.689,138.333,-53.130,52.212
11,,284.392,136.015,129.600,148.741,-73.301,50.988
12,,155.123,135.354,131.133,144.333,-78.690,23.969
13,,284.392,138.118,134.600,146.000,-84.289,49.617
14,,336.100,132.329,128.333,139.667,-80.538,61.858
15,,310.246,128.151,123.471,140.000,-78.690,55.182
16,,361.953,129.546,121.644,151.815,-38.660,68.575
17,,284.392,112.120,107.391,125.000,-18.435,50.563
18,,258.538,133.459,129.575,144.333,-35.538,45.636
19,,310.246,134.685,128.333,150.000,-52.125,55.596
20,,284.392,127.532,125.567,136.333,0.000,49.181
21,,310.246,132.081,127.333,143.667,-5.194,56.570
22,,361.953,130.656,124.176,140.333,14.036,63.801
23,,284.392,139.242,136.400,146.667,11.310,51.854
24,,310.246,126.572,119.172,146.111,41.186,55.182
25,,310.246,131.895,126.954,143.333,33.690,54.999
26,,284.392,108.067,97.173,148.667,45.000,51.548
27,,310.246,142.655,137.333,159.593,48.814,55.338
28,,336.100,142.430,134.611,164.000,90.000,62.802
29,Mean,303.782,129.992,124.528,143.644,-22.264,54.459
30,SD,50.558,8.051,9.247,8.105,44.671,10.003
31,Min,155.123,108.067,97.173,125.000,-84.289,23.969
32,Max,387.807,142.655,137.333,164.000,90.000,69.490
