 ,Label,Area,Mean,Min,Max,Angle,Length
1,,107.341,18.770,0.000,126.000,-5.618,80.650
2,,136.773,85.139,46.564,188.192,0.735,102.640
3,,141.967,76.524,26.000,124.000,0.000,106.579
4,,133.310,87.087,40.158,128.158,3.013,100.138
5,,145.429,111.721,68.470,159.530,-2.070,109.282
6,,136.773,114.855,60.846,221.000,-2.203,102.707
7,,145.429,88.667,49.525,170.000,-21.286,108.734
8,,126.385,102.299,16.302,218.035,31.921,94.563
9,,91.759,163.520,110.867,218.254,39.523,68.231
10,,98.684,101.680,65.071,143.000,28.856,73.614
11,,136.773,27.300,1.140,106.860,-68.062,102.133
12,Mean,127.329,88.869,44.086,163.912,0.437,95.388
13,SD,19.129,39.986,32.732,42.176,29.236,14.492
14,Min,91.759,18.770,0.000,106.860,-68.062,68.231
15,Max,145.429,163.520,110.867,221.000,39.523,109.282
