 ,Label,Area,Mean,Min,Max,Angle,Length
1,,90.028,23.018,0.000,80.237,-102.407,67.363
2,,86.565,109.249,85.452,135.958,-63.435,64.728
3,,114.266,80.169,28.646,154.308,-90.881,85.536
4,,109.072,102.413,49.710,170.935,-94.611,81.844
5,,126.385,31.493,0.275,155.000,16.164,94.526
6,,117.729,93.265,38.552,186.343,-88.290,88.197
7,,117.729,119.394,66.896,159.149,-89.145,88.168
8,,112.535,130.390,76.375,237.016,83.758,84.713
9,,124.654,96.486,37.996,204.557,-107.162,93.643
10,,77.909,51.263,6.000,215.000,-62.850,57.670
11,,86.565,148.413,104.429,187.210,-50.793,64.527
12,Mean,105.767,89.596,44.939,171.428,-59.059,79.174
13,SD,17.199,39.987,35.438,42.494,58.640,13.080
14,Min,77.909,23.018,0.000,80.237,-107.162,57.670
15,Max,126.385,148.413,104.429,237.016,83.758,94.526
