 ,Label,Area,Mean,Min,Max,Angle,Length
1,,3.306,127.000,88.000,162.000,-18.435,2.875
2,,1.653,106.500,100.000,113.000,0.000,0.909
3,,3.306,165.333,144.000,180.333,-161.565,2.875
4,,4.132,157.863,151.438,168.000,-135.000,3.857
5,,14.048,161.834,152.844,177.000,26.565,14.229
6,,20.659,168.295,142.000,177.111,-56.976,21.684
7,Mean,7.851,147.804,129.714,162.907,-57.569,7.738
8,SD,7.694,25.156,28.231,25.383,75.809,8.314
9,Min,1.653,106.500,88.000,113.000,-161.565,0.909
10,Max,20.659,168.295,152.844,180.333,26.565,21.684
