 ,Label,Area,Mean,Min,Max,Angle,Length
1,,4.555,148.312,144.000,152.500,90.000,1.948
2,,4.555,124.500,120.000,128.500,90.000,2.465
3,,3.037,127.500,127.000,128.000,135.000,1.743
4,,4.555,135.854,129.000,142.500,90.000,1.948
5,,4.555,157.854,157.500,158.062,0.000,1.948
6,,3.037,108.500,108.000,109.000,45.000,0.871
7,,4.555,117.333,114.500,119.000,-90.000,2.465
8,,6.074,128.292,126.000,129.500,-71.565,3.593
9,,6.074,132.750,126.000,137.000,-153.435,3.081
10,,4.555,145.042,144.000,146.125,-116.565,2.222
11,,6.074,152.438,139.000,161.000,-56.310,3.593
12,,18.222,153.182,124.500,163.091,0.000,13.569
13,,3.037,115.750,115.000,116.500,45.000,0.871
14,,4.555,126.667,122.000,131.000,26.565,1.948
15,,3.037,128.500,127.000,130.000,0.000,0.871
16,,3.037,98.750,96.000,101.500,-90.000,1.378
17,,3.037,107.000,105.000,109.000,-135.000,1.378
18,,4.555,112.833,112.000,114.000,-116.565,2.755
19,,4.555,111.750,111.250,112.000,-90.000,1.848
20,,4.555,110.250,108.500,112.000,180.000,2.540
21,,3.037,125.500,125.000,126.000,180.000,0.616
22,,3.037,154.500,154.000,155.000,180.000,1.378
23,,6.074,138.083,132.000,142.000,-116.565,3.081
24,,4.555,120.688,119.000,121.562,-135.000,2.614
25,,6.074,117.806,116.000,120.500,153.435,3.142
26,Mean,4.920,127.985,124.090,130.614,1.760,2.555
27,SD,2.982,16.636,14.988,17.866,112.044,2.446
28,Min,3.037,98.750,96.000,101.500,-153.435,0.616
29,Max,18.222,157.854,157.500,163.091,180.000,13.569
