 ,Label,Area,Mean,Min,Max,Angle,Length
1,,42.518,135.270,126.000,156.000,116.565,33.065
2,,63.777,102.766,96.152,126.239,92.793,50.567
3,,69.851,107.474,104.000,122.181,101.560,55.601
4,,63.777,108.880,99.000,159.558,121.701,50.118
5,,48.592,113.958,92.601,126.989,70.974,38.073
6,,65.295,118.984,115.000,131.836,49.844,51.710
7,,65.295,107.037,98.000,130.560,18.853,52.190
8,,72.888,71.171,61.000,94.492,-76.551,58.161
9,,50.110,87.474,79.534,100.404,-88.210,39.816
10,,54.666,101.095,92.771,107.337,-140.826,42.761
11,,63.777,111.818,103.000,128.928,-136.005,50.118
12,,48.592,95.297,87.000,112.891,-58.392,37.974
13,,54.666,117.702,104.043,151.467,-55.408,43.352
14,,56.184,122.812,115.000,164.283,1.591,44.669
15,,53.147,102.549,80.822,162.214,11.634,42.462
16,,60.740,100.370,89.000,125.000,19.359,48.326
17,,74.406,84.658,68.234,152.012,-24.944,59.061
18,,69.851,93.268,60.805,117.178,-45.000,55.609
19,,68.332,96.525,81.519,112.916,-113.025,53.922
20,,78.962,83.283,73.375,100.018,-130.236,63.394
21,,65.295,99.398,96.000,117.611,-110.556,51.928
22,,42.518,112.117,106.000,126.627,-109.799,33.179
23,,68.332,107.748,91.000,122.727,-126.607,54.175
24,,69.851,109.540,100.994,122.664,-142.125,55.346
25,Mean,61.309,103.800,92.535,128.005,-31.367,48.566
26,SD,10.081,13.998,16.530,20.105,89.307,8.235
27,Min,42.518,71.171,60.805,94.492,-142.125,33.065
28,Max,78.962,135.270,126.000,164.283,121.701,63.394
