 ,Label,Area,Mean,Min,Max,Angle,Length
1,,56.184,137.529,128.222,185.000,17.928,44.035
2,,59.221,110.445,96.272,140.673,26.565,46.458
3,,63.777,110.167,105.000,147.680,21.038,51.022
4,,53.147,106.031,97.842,135.935,22.751,41.303
5,,48.592,124.711,110.320,146.034,-26.565,38.651
6,,65.295,111.858,90.000,150.000,-36.327,52.004
7,,45.555,107.402,101.725,116.158,-67.834,35.339
8,,44.036,110.841,103.000,129.000,-57.995,34.876
9,,48.592,107.579,102.323,121.000,-39.806,38.497
10,,42.518,93.132,87.382,103.983,43.452,32.951
11,,45.555,111.305,103.500,154.038,42.138,35.723
12,,50.110,124.578,117.000,146.816,-91.790,38.845
13,,54.666,102.086,87.229,151.000,-75.174,43.340
14,,51.629,99.120,89.000,131.338,-70.463,40.228
15,,50.110,77.252,64.000,116.505,-118.179,39.519
16,,54.666,107.061,101.206,122.421,-139.574,43.384
17,,69.851,95.137,83.635,130.429,-18.435,55.261
18,,59.221,87.460,80.852,101.670,-33.275,47.133
19,,59.221,100.539,97.000,117.666,-32.005,46.620
20,,57.703,112.077,104.000,142.703,-102.529,45.701
21,,51.629,91.809,88.000,103.908,-62.650,40.380
22,,62.258,81.843,63.501,117.815,-4.289,49.750
23,,59.221,119.535,114.174,139.669,-34.509,47.402
24,,60.740,107.635,99.919,128.939,-52.253,48.366
25,Mean,54.729,105.714,96.463,132.516,-37.074,43.199
26,SD,7.157,13.784,14.952,19.253,50.032,5.912
27,Min,42.518,77.252,63.501,101.670,-139.574,32.951
28,Max,69.851,137.529,128.222,185.000,43.452,55.261
