 ,Label,Area,Mean,Min,Max,Angle,Length
1,,94.869,89.244,72.991,124.000,33.232,56.281
2,,92.233,96.212,87.118,128.000,25.821,55.905
3,,79.057,64.207,57.512,71.672,30.964,47.328
4,,100.139,100.663,89.023,132.000,30.700,60.414
5,,81.692,75.441,64.867,109.000,27.408,49.372
6,,94.869,107.207,84.723,186.000,40.426,57.577
7,,89.598,86.667,76.898,147.000,40.030,53.002
8,,79.057,58.335,53.000,86.000,20.323,46.740
9,,68.516,72.232,64.040,86.000,28.610,40.681
10,,94.869,92.298,72.748,144.000,22.109,56.070
11,,71.151,49.175,41.825,68.000,20.556,41.610
12,,84.328,66.029,58.161,89.000,22.479,50.948
13,,81.692,96.010,70.400,146.000,-5.711,48.943
14,,60.611,71.415,50.455,157.000,-10.305,36.299
15,,73.787,108.976,97.296,140.000,2.121,43.860
16,,60.611,66.237,59.727,89.000,43.152,35.603
17,,26.352,84.089,73.593,91.000,40.601,14.966
18,Mean,78.437,81.437,69.081,117.275,24.266,46.800
19,SD,17.983,17.673,15.016,33.948,15.717,11.038
20,Min,26.352,49.175,41.825,68.000,-10.305,14.966
21,Max,100.139,108.976,97.296,186.000,43.152,60.414
