 ,Label,Area,Mean,Min,Max,Angle,Length
1,,47.059,95.603,80.000,114.482,-23.429,38.465
2,,58.131,53.588,29.256,163.667,-24.677,47.904
3,,44.291,91.293,62.197,174.449,-20.772,36.490
4,,58.131,103.050,87.959,119.469,-15.751,47.672
5,,59.516,101.686,88.667,125.229,-27.181,48.933
6,,56.747,86.117,68.115,102.313,-39.987,47.600
7,,33.218,124.466,101.876,192.000,-34.380,27.084
8,Mean,51.013,93.686,74.010,141.658,-26.597,42.021
9,SD,9.866,21.501,23.801,34.503,8.221,8.284
10,Min,33.218,53.588,29.256,102.313,-39.987,27.084
11,Max,59.516,124.466,101.876,192.000,-15.751,48.933
