 ,Label,Area,Mean,Min,Max,Angle,Length
1,,10.145,139.886,121.667,148.170,-45.000,7.963
2,,7.609,137.222,117.667,157.533,-11.310,5.742
3,,8.877,154.381,133.333,174.000,0.000,6.757
4,,6.341,138.054,119.667,148.021,-45.000,4.778
5,,6.341,133.583,113.667,145.333,-56.310,4.060
6,,10.145,129.784,105.000,139.619,-33.690,8.121
7,,10.145,122.429,83.667,156.333,-33.690,8.121
8,,8.877,125.159,106.000,138.333,-45.000,6.370
9,,6.341,120.883,115.667,125.333,-56.310,4.060
10,,6.341,128.100,109.667,139.000,-33.690,4.060
11,,6.341,128.342,113.667,135.833,-45.000,4.778
12,,3.804,125.444,115.667,132.333,-63.435,2.518
13,,7.609,115.911,96.000,130.933,-78.690,5.742
14,,11.413,133.007,108.000,153.000,-45.000,9.555
15,Mean,7.881,130.870,111.381,144.555,-42.295,5.902
16,SD,2.121,9.648,11.870,12.847,19.946,2.011
17,Min,3.804,115.911,83.667,125.333,-78.690,2.518
18,Max,11.413,154.381,133.333,174.000,0.000,9.555
