 ,Label,Area,Mean,Min,Max,Angle,Length
1,,106.667,34.773,21.000,72.000,36.027,36.271
2,,120.889,9.978,0.375,32.889,18.435,43.292
3,,113.778,10.613,9.694E-27,45.000,23.199,39.752
4,,99.556,39.775,28.000,64.000,17.103,35.422
5,,113.778,26.211,13.000,56.667,23.199,40.617
6,,106.667,25.378,20.190,36.000,8.130,37.712
7,,78.222,10.024,2.000,30.667,16.699,27.599
8,,99.556,1.796,0.000,17.000,22.620,35.018
9,,92.444,62.118,41.111,102.889,9.462,30.689
10,,113.778,54.335,40.444,98.000,3.814,39.151
11,,113.778,47.846,33.086,90.556,0.000,40.928
12,,113.778,37.903,23.196,78.778,-3.814,39.151
13,,120.889,71.725,62.083,94.000,-7.125,42.815
14,,106.667,59.698,50.190,80.000,0.000,37.376
15,,113.778,57.055,44.000,108.000,0.000,40.928
16,,128.000,37.886,22.461,82.667,-6.710,44.763
17,,85.333,57.861,46.455,88.000,-10.305,28.940
18,,135.111,25.650,10.185,63.222,-19.440,47.237
19,,92.444,16.581,2.667,64.333,-14.036,32.781
20,,128.000,25.480,7.438,85.444,0.000,46.222
21,,113.778,39.000,26.733,58.667,8.130,39.473
22,,106.667,12.347,8.000,25.000,8.130,37.502
23,,92.444,9.191,2.667,21.000,-19.983,32.049
24,,56.889,4.526,0.048,17.889,-9.462,18.130
25,,92.444,25.453,21.500,33.778,-15.255,31.502
26,,77.598,34.912,19.240,61.000,-20.225,38.923
27,,77.598,28.291,9.500,100.000,-17.526,38.301
28,,36.952,55.300,47.000,79.000,0.000,17.300
29,,77.598,23.381,13.000,98.000,-30.466,37.913
30,,84.988,26.638,14.000,48.333,-19.290,42.154
31,,59.122,34.949,5.343,78.333,7.595,29.586
32,,92.379,30.318,20.444,70.222,-25.463,45.290
33,,88.684,23.420,13.826,67.000,-35.838,44.096
34,,114.550,41.196,12.563,92.622,-34.216,58.291
35,,77.598,56.841,25.178,99.000,-20.225,38.102
36,,48.037,50.526,45.083,63.667,-10.305,22.122
37,,55.427,53.690,41.016,94.889,0.000,26.942
38,,70.208,57.404,48.136,75.556,-3.180,34.696
39,,66.513,39.630,32.072,71.444,0.000,33.319
40,,62.818,37.169,19.500,63.444,32.735,31.286
41,,84.988,69.520,43.485,157.667,19.290,42.154
42,,51.732,97.146,69.008,133.333,18.435,25.949
43,,51.732,41.880,31.376,79.222,0.000,24.349
44,,59.122,75.715,54.924,105.000,0.000,29.503
45,,77.598,11.714,0.000,84.333,0.000,38.446
46,Mean,90.235,37.619,24.256,72.634,-1.108,36.090
47,SD,24.808,21.092,18.607,29.765,17.218,7.939
48,Min,36.952,1.796,0.000,17.000,-35.838,17.300
49,Max,135.111,97.146,69.008,157.667,36.027,58.291
