 ,Label,Area,Mean,Min,Max,Angle,Length
1,,4.111,114.625,109.750,119.500,0.000,1.603
2,,14.390,173.175,153.000,182.000,-51.340,9.181
3,,24.668,181.413,162.000,191.843,-33.690,15.509
4,,18.501,169.714,139.500,192.656,-39.806,11.152
5,,24.668,129.479,72.500,154.876,-21.801,15.442
6,,4.111,88.125,86.500,89.750,-90.000,1.603
7,,4.111,60.625,60.500,60.750,-90.000,0.717
8,,10.278,94.237,54.000,116.500,-26.565,5.780
9,,12.334,149.392,124.000,161.000,-26.565,6.763
10,,18.501,151.187,141.000,160.359,-15.945,11.335
11,,18.501,109.944,41.500,141.250,-14.036,11.823
12,,18.501,199.424,184.688,215.125,-33.690,10.943
13,,14.390,188.631,179.556,194.667,-30.964,8.015
14,,8.223,142.667,135.000,152.500,-18.435,4.534
15,,4.111,129.500,122.000,137.000,-90.000,1.434
16,,18.501,121.276,116.359,129.586,-56.310,11.335
17,,4.111,134.000,125.000,143.000,-45.000,1.603
18,,6.167,162.917,158.500,166.000,-26.565,2.585
19,,16.446,164.167,131.500,176.658,-50.194,10.189
20,,16.446,168.173,158.867,187.449,-15.945,9.985
21,,16.446,174.723,157.500,191.429,-38.660,9.347
22,,12.334,152.895,136.940,165.000,-36.870,7.621
23,,22.613,131.091,94.250,148.820,-32.005,14.516
24,,16.446,103.473,64.500,131.071,-15.945,10.438
25,,12.334,208.648,199.180,219.500,-53.130,7.621
26,,16.446,123.554,79.000,148.000,-15.945,10.438
27,,18.501,151.730,115.000,166.734,-39.806,11.758
28,,16.446,102.375,64.000,135.000,0.000,10.036
29,,4.111,108.500,97.000,120.000,-45.000,2.028
30,,12.334,98.383,36.500,126.400,-30.964,7.381
31,,12.334,131.433,106.000,140.500,-11.310,7.205
32,,14.390,137.075,110.000,149.000,-11.310,8.015
33,,14.390,132.143,71.000,166.333,-30.964,8.360
34,,16.446,167.716,163.694,174.143,-9.462,9.429
35,,16.446,155.049,122.000,175.750,-29.745,10.585
36,,18.501,147.528,141.000,155.500,-29.745,11.221
37,,4.111,20.250,20.000,20.500,0.000,0.717
38,,12.334,143.650,137.500,151.700,-21.801,7.721
39,,26.724,157.958,105.250,179.417,-48.366,17.265
40,,14.390,169.991,156.750,179.000,-45.000,9.124
41,,24.668,176.471,137.000,192.752,-19.983,16.379
42,,6.167,125.083,120.000,130.750,0.000,2.956
43,,16.446,148.589,133.000,157.571,-8.130,10.138
44,,14.390,126.619,105.222,149.667,-45.000,8.111
45,,16.446,164.588,132.500,173.531,-51.340,9.645
46,,14.390,154.079,143.000,165.000,-45.000,8.111
47,,20.557,120.608,28.750,156.883,-54.462,12.334
48,,14.390,43.238,17.000,60.500,18.435,9.068
49,,14.390,69.960,54.500,83.778,38.660,8.751
50,,16.446,68.777,43.500,86.571,0.000,9.320
51,,12.334,65.330,42.360,82.740,-36.870,7.097
52,,12.334,28.560,22.000,39.500,-45.000,7.621
53,,16.446,125.895,98.000,135.367,-45.000,10.138
54,,14.390,135.456,125.667,144.417,-51.340,8.751
55,,16.446,134.223,115.000,154.000,-26.565,9.959
56,,26.724,136.071,70.500,168.250,-34.992,17.501
57,,18.501,141.490,129.234,155.211,-50.194,11.758
58,,14.390,116.921,103.778,132.000,-51.340,9.181
59,,24.668,110.720,63.000,132.471,-45.000,16.221
60,,14.390,127.444,114.000,137.889,-38.660,9.181
61,Mean,14.801,131.183,107.180,145.919,-31.911,8.910
62,SD,5.787,39.327,44.372,39.844,23.396,4.066
63,Min,4.111,20.250,17.000,20.500,-90.000,0.717
64,Max,26.724,208.648,199.180,219.500,38.660,17.501
