 ,Label,Area,Mean,Min,Max,Angle,Length
1,,34.947,162.744,147.328,193.000,-124.695,22.670
2,,41.114,117.662,97.533,169.500,-111.251,26.766
3,,37.003,84.782,60.730,130.000,-156.371,25.040
4,,43.170,89.240,58.225,155.000,-122.905,29.032
5,,43.170,101.295,82.340,136.000,-116.565,28.854
6,,37.003,139.944,122.000,161.000,-90.000,24.374
7,,34.947,82.966,46.164,108.750,-111.801,23.163
8,,30.835,36.643,31.929,43.500,-118.301,20.541
9,,32.891,40.122,31.142,70.000,-137.726,21.387
10,,34.947,45.824,31.250,78.000,-119.745,23.119
11,,37.003,32.389,27.000,43.000,-90.000,24.374
12,,45.225,34.199,24.919,86.250,-104.036,29.558
13,,37.003,53.152,27.411,136.500,-120.964,25.081
14,,41.114,54.080,27.706,145.000,-115.201,27.588
15,,32.891,23.848,18.050,28.000,-121.608,21.519
16,,43.170,83.710,47.000,182.000,-122.905,29.032
17,,43.170,32.466,22.000,100.000,-116.565,28.854
18,,41.114,40.360,35.975,52.000,-115.201,27.251
19,,39.058,24.648,21.056,37.000,-112.380,26.360
20,,39.058,29.358,22.000,73.000,-122.005,26.447
21,,51.392,37.125,24.375,128.000,-119.745,34.678
22,,41.114,32.260,25.302,46.000,-117.897,27.579
23,,49.337,32.071,26.284,50.500,-116.565,33.023
24,,39.058,32.240,24.250,51.000,-126.254,26.252
25,,57.560,116.053,83.278,188.250,-138.013,38.049
26,,41.114,78.796,55.704,119.000,-141.340,27.542
27,,49.337,40.289,23.928,123.000,-138.576,32.506
28,,45.225,57.215,28.415,150.000,-148.570,30.245
29,,43.170,67.097,45.636,92.387,-124.509,28.836
30,,41.114,27.283,24.781,36.000,-122.005,27.052
31,,51.392,97.558,81.000,152.000,-138.366,35.069
32,,49.337,69.068,38.461,194.000,-140.194,33.518
33,,47.281,64.890,34.636,142.000,-144.162,31.835
34,,39.058,30.580,26.481,38.167,-141.843,25.528
35,,49.337,39.073,19.679,83.000,-138.576,32.506
36,,57.560,79.054,31.085,153.847,-118.443,38.505
37,,43.170,76.468,51.000,116.000,-135.000,28.387
38,,39.058,76.671,50.630,134.000,-109.440,25.848
39,,45.225,59.557,40.138,96.500,-115.346,29.843
40,,49.337,32.065,20.881,123.000,-154.537,33.663
41,,34.947,43.621,27.000,126.750,-145.305,22.270
42,,41.114,42.755,26.252,125.500,-141.843,26.534
43,,43.170,29.743,17.000,93.000,-139.086,28.460
44,,45.225,25.331,21.000,62.000,-133.025,29.947
45,,45.225,48.702,24.429,135.000,-148.570,30.245
46,,59.615,41.399,21.994,133.750,-145.176,40.363
47,,39.058,27.922,19.889,52.259,-139.399,26.437
48,,41.114,80.192,60.094,108.000,-143.746,26.670
49,,41.114,100.060,85.568,130.000,-147.995,27.052
50,,51.392,91.052,71.292,142.000,-157.751,34.485
51,,45.225,53.587,34.333,145.000,-158.199,30.625
52,,39.058,20.267,18.500,24.500,-135.000,26.360
53,,39.058,30.204,18.189,109.000,-135.000,25.346
54,,47.281,19.872,18.886,21.920,-121.430,30.859
55,,47.281,48.799,25.818,117.750,-129.472,31.689
56,,39.058,38.528,19.574,138.000,-159.444,25.427
57,,51.392,58.240,33.000,138.000,-175.236,34.530
58,,49.337,60.400,30.091,137.000,-140.194,33.594
59,,39.058,52.613,37.361,126.250,-135.000,25.858
60,,45.225,48.749,27.990,165.500,-135.000,29.401
61,Mean,43.033,56.948,39.599,109.589,-130.758,28.627
62,SD,6.183,30.723,26.453,46.414,16.728,4.305
63,Min,30.835,19.872,17.000,21.920,-175.236,20.541
64,Max,59.615,162.744,147.328,194.000,-90.000,40.363
