 ,Label,Area,Mean,Min,Max,Angle,Length
1,,146.025,2.292,0.000,23.000,-24.624,61.397
2,,146.025,3.549,0.000,24.165,-21.801,61.044
3,,151.433,6.181,0.000,61.957,-29.476,62.763
4,,156.842,9.032,0.000,57.650,-34.824,64.077
5,,129.800,3.503,0.000,28.292,-45.000,53.112
6,,156.842,7.624,0.000,48.647,-46.469,64.156
7,,156.842,8.373,0.000,84.307,-49.185,66.249
8,,135.208,4.704,0.000,50.767,-51.710,55.551
9,,135.208,5.141,0.000,36.994,-30.964,55.189
10,,140.617,3.412,0.000,28.374,-34.992,58.164
11,,162.250,7.945,0.000,59.858,-38.047,66.612
12,,129.800,37.601,24.034,71.602,-37.875,52.447
13,,135.208,38.788,11.848,116.367,-43.264,55.116
14,,140.617,9.625,0.000,84.746,-41.820,59.191
15,,102.758,12.613,0.269,64.642,-45.000,41.092
16,Mean,141.698,10.692,2.410,56.091,-38.337,58.411
17,SD,15.049,11.516,6.713,26.348,8.888,6.667
18,Min,102.758,2.292,0.000,23.000,-51.710,41.092
19,Max,162.250,38.788,24.034,116.367,-21.801,66.612
