 ,Label,Area,Mean,Min,Max,Angle,Length
1,,30.854,107.972,98.000,112.750,135.000,15.711
2,,13.713,106.222,99.000,112.000,-45.000,5.237
3,,17.141,88.138,66.000,101.375,-45.000,7.855
4,,10.285,51.167,33.000,66.000,-26.565,4.140
5,,23.997,87.103,47.000,108.111,-51.340,11.856
6,,17.141,99.025,88.000,104.500,-56.310,6.676
7,,17.141,90.000,73.000,99.125,-56.310,6.676
8,Mean,18.610,89.947,72.000,100.552,-20.789,8.307
9,SD,6.815,19.094,25.311,16.068,69.442,4.077
10,Min,10.285,51.167,33.000,66.000,-56.310,4.140
11,Max,30.854,107.972,99.000,112.750,135.000,15.711
