 ,Label,Area,Mean,Min,Max,Angle,Length
1,,51.123,96.946,79.187,114.091,-45.000,15.161
2,,94.942,88.765,29.741,154.467,-41.634,33.653
3,,87.639,22.411,0.000,77.997,-33.690,28.903
4,,87.639,11.682,0.000,85.950,-63.435,28.610
5,,80.336,77.895,45.299,98.123,-26.565,26.473
6,,73.033,76.965,63.291,107.698,-32.005,24.378
7,,87.639,76.824,55.371,108.556,-29.055,29.668
8,,36.516,75.430,51.667,89.399,-14.036,12.073
9,,43.820,81.311,54.993,106.302,-36.870,13.806
10,,51.123,125.661,89.223,172.892,-8.130,16.743
11,,65.729,78.798,50.817,100.492,20.556,22.463
12,Mean,69.049,73.881,47.235,110.542,-28.169,22.903
13,SD,20.492,31.731,28.236,28.681,21.927,7.368
14,Min,36.516,11.682,0.000,77.997,-63.435,12.073
15,Max,94.942,125.661,89.223,172.892,20.556,33.653
