 ,Label,Area,Mean,Min,Max,Angle,Length
1,,15.636,146.963,140.000,156.000,-45.000,4.873
2,,5.212,73.333,73.333,73.333,180.000,0.761
3,,10.424,94.000,93.000,95.000,0.000,1.522
4,,10.424,91.889,88.444,95.333,-45.000,2.152
5,,10.424,82.222,79.667,84.778,-45.000,2.744
6,,10.424,81.111,77.222,85.000,-45.000,2.744
7,,10.424,91.222,89.333,93.111,-45.000,2.744
8,,5.212,90.000,90.000,90.000,0.000,0.761
9,,5.212,68.000,68.000,68.000,0.000,0.761
10,,10.424,83.056,81.889,84.222,-45.000,2.152
11,,15.636,135.315,125.667,141.111,-45.000,4.873
12,,15.636,155.708,149.000,160.625,-45.000,4.116
13,Mean,10.424,99.402,96.296,102.209,-15.000,2.517
14,SD,3.849,29.427,26.777,31.735,64.597,1.487
15,Min,5.212,68.000,68.000,68.000,-45.000,0.761
16,Max,15.636,155.708,149.000,160.625,180.000,4.873
