 ,Label,Area,Mean,Min,Max,Angle,Length
1,,78.179,121.380,113.143,139.000,-39.289,32.447
2,,224.114,81.671,59.144,149.946,-32.152,94.966
3,,234.538,63.098,55.437,77.767,-36.607,101.488
4,,307.505,66.764,59.099,80.770,-42.207,132.200
5,,297.081,54.987,46.721,84.864,-41.379,128.904
6,,276.233,57.602,47.177,68.935,-45.785,118.052
7,,281.445,36.169,15.175,73.943,-53.344,121.653
8,,265.809,77.401,64.769,100.200,-45.807,114.563
9,,244.962,36.873,14.574,78.931,-47.643,105.293
10,,213.690,60.775,50.225,87.188,-56.310,90.321
11,,307.505,68.409,43.994,135.865,-61.232,131.652
12,,265.809,86.577,66.421,156.594,-60.832,113.184
13,,151.147,93.189,72.651,112.002,-63.435,65.053
14,Mean,242.155,69.607,54.502,103.539,-48.156,103.829
15,SD,65.672,23.109,24.905,31.400,10.080,28.575
16,Min,78.179,36.169,14.574,68.935,-63.435,32.447
17,Max,307.505,121.380,113.143,156.594,-32.152,132.200
