 ,Label,Area,Mean,Min,Max,Angle,Length
1,,57.331,123.685,113.040,143.000,45.000,22.600
2,,177.206,92.515,74.551,129.971,47.490,76.051
3,,218.902,74.536,57.252,112.698,53.973,92.621
4,,250.174,79.883,62.770,125.585,51.911,107.132
5,,250.174,69.413,50.013,134.083,53.616,106.454
6,,229.326,77.312,57.257,136.874,53.393,99.174
7,,281.445,56.868,28.809,129.681,42.709,121.642
8,,218.902,86.669,61.424,137.795,47.911,93.619
9,,224.114,59.698,31.734,133.041,46.909,95.868
10,,208.478,66.038,40.533,116.908,38.660,88.287
11,,255.386,76.989,45.857,162.878,28.706,109.491
12,,203.266,87.529,66.675,163.458,35.362,86.663
13,,119.875,107.906,92.242,160.849,34.380,50.919
14,Mean,207.275,81.465,60.166,137.448,44.617,88.502
15,SD,60.263,18.747,23.424,16.392,8.195,26.353
16,Min,57.331,56.868,28.809,112.698,28.706,22.600
17,Max,281.445,123.685,113.040,163.458,53.973,121.642
