 ,Label,Area,Mean,Min,Max,Angle,Length
1,,4.194,102.667,102.667,102.667,0.000,0.683
2,,8.389,82.278,79.111,85.444,0.000,2.048
3,,12.583,98.815,97.333,99.556,0.000,3.413
4,,8.389,99.333,99.333,99.333,0.000,2.048
5,,8.389,98.500,97.500,99.500,0.000,2.048
6,,8.389,109.667,109.167,110.167,45.000,2.896
7,,12.583,108.611,107.000,109.500,-26.565,4.222
8,,8.389,104.500,104.000,105.000,0.000,1.024
9,,8.389,103.250,102.833,103.667,-90.000,1.024
10,,8.389,106.292,105.917,106.667,90.000,1.448
11,,8.389,105.092,104.444,105.739,180.000,2.740
12,Mean,8.770,101.728,100.846,102.476,18.040,2.145
13,SD,2.262,7.459,8.132,6.796,69.102,1.096
14,Min,4.194,82.278,79.111,85.444,-90.000,0.683
15,Max,12.583,109.667,109.167,110.167,180.000,4.222
