 ,Label,Area,Mean,Min,Max,Angle,Length
1,,167.774,113.859,96.615,129.333,10.437,79.134
2,,264.245,72.087,58.904,100.120,0.000,126.027
3,,222.301,64.153,56.372,94.735,2.203,106.928
4,,205.524,90.286,86.333,96.589,2.386,98.716
5,,222.301,92.734,88.384,103.703,3.302,106.990
6,,88.082,91.745,87.655,99.669,17.526,41.595
7,,134.219,93.779,90.000,104.777,1.848,63.073
8,,230.690,88.606,79.989,105.132,9.638,109.675
9,,230.690,92.698,83.290,105.133,14.036,109.974
10,,218.107,102.265,97.570,105.817,5.599,104.550
11,,213.912,96.237,85.420,106.287,4.574,103.068
12,,176.163,116.411,112.174,131.049,23.385,84.010
13,Mean,197.834,92.905,85.226,106.862,7.911,94.478
14,SD,48.581,14.703,15.388,11.527,7.255,23.547
15,Min,88.082,64.153,56.372,94.735,0.000,41.595
16,Max,264.245,116.411,112.174,131.049,23.385,126.027
