 ,Label,Area,Mean,Min,Max,Angle,Length
1,,117.442,123.526,116.136,142.333,-81.573,55.900
2,,188.746,75.430,59.193,112.077,-86.100,90.670
3,,180.357,64.007,47.605,94.649,-87.207,85.031
4,,159.386,92.419,86.217,103.677,-85.365,75.541
5,,155.191,96.717,91.000,108.406,-86.820,74.087
6,,96.470,99.723,90.315,125.168,-79.695,44.600
7,,92.276,94.528,88.544,115.029,-87.397,43.921
8,,180.357,90.042,80.515,113.653,-83.211,85.636
9,,176.163,93.667,85.356,114.554,-78.959,84.909
10,,197.135,104.845,99.297,122.308,-75.069,95.035
11,,180.357,104.983,97.000,126.315,-74.624,85.064
12,,130.025,116.279,111.982,128.381,-66.038,60.662
13,Mean,154.492,96.347,87.763,117.213,-81.005,73.421
14,SD,36.558,16.078,19.346,12.608,6.531,17.817
15,Min,92.276,64.007,47.605,94.649,-87.397,43.921
16,Max,197.135,123.526,116.136,142.333,-66.038,95.035
