 ,Label,Area,Mean,Min,Max,Angle,Length
1,,21.959,65.889,60.778,71.000,90.000,3.124
2,,21.959,14.667,13.333,16.000,45.000,2.470
3,,21.959,15.556,15.444,15.667,90.000,2.209
4,,21.959,13.667,12.667,14.667,90.000,2.209
5,,10.979,12.963,12.963,12.963,0.000,1.105
6,,54.897,102.522,83.667,113.833,56.310,14.145
7,,43.917,123.306,117.778,129.444,56.310,11.045
8,,21.959,91.333,74.222,108.444,45.000,3.982
9,,21.959,49.426,34.000,64.852,45.000,3.982
10,,21.959,49.315,42.963,55.667,0.000,2.470
11,,21.959,54.556,54.222,54.889,90.000,4.554
12,Mean,25.951,53.927,47.458,59.766,55.238,4.663
13,SD,12.298,38.822,34.621,42.925,33.545,4.102
14,Min,10.979,12.963,12.667,12.963,0.000,1.105
15,Max,54.897,123.306,117.778,129.444,90.000,14.145
