 ,Label,Area,Mean,Min,Max,Angle,Length
1,,131.752,97.874,75.893,121.000,26.565,37.046
2,,318.401,49.009,33.150,108.000,55.176,92.211
3,,417.216,18.740,11.025,60.000,65.556,121.043
4,,450.154,13.729,11.000,59.119,59.534,130.897
5,,417.216,13.583,11.000,83.593,90.000,121.515
6,,439.174,14.746,11.000,81.444,88.531,129.232
7,,285.463,68.480,46.808,140.000,45.000,83.185
8,,439.174,13.714,11.000,79.333,64.093,128.929
9,,439.174,11.269,11.000,18.833,62.784,130.411
10,,428.195,11.000,11.000,11.000,54.638,125.005
11,,439.174,11.245,11.000,17.250,59.534,130.137
12,,406.236,15.562,11.000,81.500,51.843,120.317
13,,252.525,18.715,10.963,122.500,5.194,71.548
14,Mean,374.143,27.513,20.449,75.659,56.035,109.344
15,SD,97.840,27.275,20.048,41.753,22.418,29.445
16,Min,131.752,11.000,10.963,11.000,5.194,37.046
17,Max,450.154,97.874,75.893,140.000,90.000,130.897
