 ,Label,Area,Mean,Min,Max,Angle,Length
1,,153.711,79.439,66.790,100.500,-48.013,44.517
2,,285.463,16.248,11.000,72.750,-25.560,82.273
3,,318.401,14.970,11.000,54.000,-36.027,91.122
4,,362.319,14.558,11.000,78.167,-41.186,106.768
5,,307.422,17.057,11.000,94.000,-40.601,90.578
6,,252.525,20.365,11.000,110.250,-41.424,73.888
7,,164.690,22.269,11.000,89.000,-85.914,45.008
8,,98.814,95.216,77.831,123.815,-66.801,25.235
9,,230.567,66.627,42.126,142.444,-32.905,64.639
10,,296.443,46.105,11.004,164.519,-24.624,86.476
11,,329.381,19.398,11.000,113.630,-32.005,95.659
12,,296.443,28.525,11.000,174.778,-4.399,87.368
13,,296.443,20.937,11.000,109.889,0.000,87.256
14,Mean,260.971,35.516,22.827,109.826,-36.882,75.445
15,SD,77.914,27.497,23.681,35.058,22.749,23.871
16,Min,98.814,14.558,11.000,54.000,-85.914,25.235
17,Max,362.319,95.216,77.831,174.778,0.000,106.768
