 ,Label,Area,Mean,Min,Max,Angle,Length
1,,7.834,165.460,148.045,183.333,0.000,2.778
2,,7.834,185.661,163.476,201.348,26.565,3.105
3,,7.834,162.186,132.886,190.201,0.000,2.778
4,,7.834,153.154,141.240,164.799,63.435,3.105
5,,10.446,197.106,171.146,213.351,18.435,4.392
6,,7.834,193.178,177.297,203.240,0.000,2.778
7,,7.834,120.957,114.479,125.083,0.000,2.778
8,,5.223,142.177,135.503,148.850,0.000,1.389
9,,7.834,126.782,123.539,130.089,-26.565,3.105
10,,5.223,120.860,118.605,123.114,45.000,1.964
11,,5.223,83.426,79.889,86.963,135.000,1.964
12,,5.223,86.983,80.950,93.017,0.000,1.389
13,,10.446,152.382,134.937,161.839,0.000,4.392
14,,23.503,181.016,156.266,191.179,7.125,12.576
15,,7.834,188.362,159.468,210.743,0.000,2.778
16,,13.057,195.279,186.291,203.484,-18.435,5.726
17,,5.223,200.016,195.728,204.304,0.000,1.389
18,,7.834,194.240,187.858,197.535,0.000,3.105
19,,28.726,177.559,168.673,195.826,-12.529,15.834
20,,10.446,179.703,156.023,192.179,18.435,4.392
21,,10.446,175.166,164.974,181.141,0.000,5.555
22,,26.115,184.753,167.686,191.493,12.529,14.163
23,,15.669,194.288,192.297,195.844,0.000,8.333
24,,7.834,197.326,193.355,200.911,-90.000,3.105
25,,5.223,178.892,178.257,179.526,0.000,1.389
26,,26.115,164.236,159.485,173.235,-18.435,14.957
27,,7.834,142.618,131.533,153.498,0.000,2.778
28,,13.057,149.917,142.749,153.659,14.036,5.726
29,,10.446,140.323,137.664,144.463,0.000,4.166
30,Mean,10.896,163.242,151.734,172.216,6.021,4.893
31,SD,6.733,32.283,30.310,34.542,35.181,4.183
32,Min,5.223,83.426,79.889,86.963,-90.000,1.389
33,Max,28.726,200.016,195.728,213.351,135.000,15.834
