 ,Label,Area,Mean,Min,Max,Angle,Length
1,,185.415,117.542,107.074,182.717,2.490,112.566
2,,156.688,113.036,102.869,174.458,-3.879,96.075
3,,185.415,65.235,48.597,197.816,0.818,113.886
4,,201.084,73.484,62.876,104.086,6.843,122.997
5,,188.026,119.847,108.459,175.524,7.326,114.722
6,,172.357,122.897,114.781,213.214,3.576,104.305
7,,151.466,109.160,96.958,174.267,-6.009,92.172
8,,75.733,153.694,137.492,220.076,-1.975,45.850
9,,112.293,143.610,133.608,183.327,0.000,68.063
10,,101.848,142.918,135.794,148.494,-13.671,61.310
11,,125.351,137.115,122.930,189.888,-8.471,75.811
12,,143.631,90.021,70.519,154.867,5.290,87.887
13,,138.408,131.880,121.602,184.943,6.710,83.890
14,,60.064,149.226,139.562,155.393,8.130,34.968
15,,65.287,148.630,136.068,167.245,33.024,39.304
16,,86.179,161.295,148.719,199.388,28.179,50.988
17,,62.675,156.355,144.017,188.746,-7.765,36.532
18,,169.746,72.945,54.010,148.774,-0.895,104.166
19,,161.911,102.911,85.864,117.457,-0.939,98.611
20,,122.739,88.534,77.997,97.654,-3.814,73.813
21,,112.293,93.503,85.905,102.323,-8.326,67.365
22,,159.300,60.645,48.256,92.944,5.711,97.698
23,,164.523,53.443,44.680,72.357,12.031,100.778
24,,177.580,85.055,71.794,141.980,16.535,108.545
25,,109.682,90.673,65.747,148.677,7.125,65.801
26,,135.797,110.546,92.878,173.278,12.407,82.733
27,,104.459,149.575,131.757,211.128,1.507,62.509
28,,65.287,105.747,92.226,126.429,2.386,38.910
29,,80.956,99.382,87.107,111.307,1.909,48.686
30,,117.516,118.343,108.851,129.094,5.315,71.166
31,,86.179,107.957,101.705,132.258,16.699,50.950
32,,75.733,107.850,101.952,120.081,6.116,44.786
33,Mean,126.738,111.970,99.458,154.381,4.199,76.808
34,SD,42.895,29.866,30.743,39.026,9.920,26.722
35,Min,60.064,53.443,44.680,72.357,-13.671,34.968
36,Max,201.084,161.295,148.719,220.076,33.024,122.997
