 ,Label,Area,Mean,Min,Max,Angle,Length
1,,120.128,120.693,98.987,196.207,-88.698,72.229
2,,122.739,123.501,104.733,179.893,-85.030,73.931
3,,114.905,67.109,42.436,146.685,-86.009,69.563
4,,135.797,83.826,54.883,149.590,-85.515,82.230
5,,130.574,122.582,106.763,153.700,-81.703,78.560
6,,117.516,127.690,112.956,192.684,-83.517,71.315
7,,99.236,116.574,97.065,198.687,-96.170,59.974
8,,54.841,144.711,132.154,183.116,-101.310,32.421
9,,78.344,147.991,137.872,207.029,-95.711,47.543
10,,80.956,142.944,128.281,164.005,-97.853,47.726
11,,80.956,137.265,128.949,160.956,-101.689,48.208
12,,104.459,98.949,71.234,185.991,-84.144,62.879
13,,112.293,130.840,120.319,166.615,-83.211,68.557
14,,47.007,153.196,143.865,164.162,-93.366,27.810
15,,54.841,150.510,134.046,189.451,-53.130,31.668
16,,57.452,158.017,149.030,202.648,-58.570,34.300
17,,36.561,152.971,146.675,160.604,-85.601,20.878
18,,47.007,161.045,151.830,175.628,-113.629,27.948
19,,133.185,77.636,55.214,148.102,-90.000,80.548
20,,122.739,109.607,103.362,138.542,-85.030,73.813
21,,83.567,86.374,71.953,122.316,-91.848,50.072
22,,67.898,93.949,87.076,107.275,-55.008,40.058
23,,141.020,61.692,48.884,106.280,-81.254,85.631
24,,127.962,58.803,42.852,98.489,-81.529,77.185
25,,133.185,85.499,72.934,122.465,-78.465,80.894
26,,78.344,84.727,62.195,118.354,-88.091,47.238
27,,88.790,103.102,82.159,191.049,-77.661,52.571
28,,75.733,140.330,119.576,160.029,-92.045,45.850
29,,39.172,103.294,95.372,132.510,-94.399,22.263
30,,73.121,96.222,83.333,139.331,-87.879,43.141
31,,91.402,120.797,110.054,136.660,-83.290,54.446
32,,62.675,111.319,105.401,127.050,-82.569,36.532
33,,49.618,109.511,100.895,135.198,-80.538,29.460
34,Mean,89.819,114.645,100.101,156.403,-85.590,53.862
35,SD,32.229,29.208,32.325,30.418,12.314,19.876
36,Min,36.561,58.803,42.436,98.489,-113.629,20.878
37,Max,141.020,161.045,151.830,207.029,-53.130,85.631
