 ,Label,Area,Mean,Min,Max,Angle,Length
1,,69.444,41.676,16.000,59.333,71.565,12.805
2,,69.444,50.648,26.333,64.778,90.000,11.111
3,,69.444,49.009,36.000,58.741,71.565,11.867
4,,69.444,61.389,46.333,75.222,90.000,13.889
5,,52.083,62.000,50.000,72.667,90.000,6.944
6,,86.806,61.767,51.333,70.333,104.036,14.959
7,,86.806,73.578,51.333,86.333,90.000,16.667
8,,138.889,80.480,55.778,91.476,90.000,29.200
9,,86.806,72.372,59.111,77.667,90.000,18.056
10,,52.083,59.815,48.000,67.444,63.435,10.111
11,,69.444,46.759,40.667,52.963,75.964,13.958
12,,52.083,51.407,42.667,56.333,90.000,9.722
13,,104.167,67.150,56.667,79.000,78.690,22.266
14,,138.889,73.592,55.333,80.816,90.000,27.812
15,,138.889,107.826,93.444,113.605,98.130,28.089
16,Mean,85.648,63.965,48.600,73.781,85.559,16.497
17,SD,31.103,16.576,17.157,15.715,10.947,7.157
18,Min,52.083,41.676,16.000,52.963,63.435,6.944
19,Max,138.889,107.826,93.444,113.605,104.036,29.200
