 ,Label,Area,Mean,Min,Max,Angle,Length
1,,208.333,26.629,10.899,73.444,84.806,46.022
2,,208.333,24.281,16.010,48.111,74.745,46.853
3,,190.972,24.220,15.056,51.667,78.690,43.412
4,,156.250,34.964,29.417,45.222,82.875,32.215
5,,190.972,39.700,27.773,62.889,84.289,40.373
6,,208.333,43.699,35.138,68.111,95.711,44.531
7,,156.250,17.059,1.917,48.333,90.000,34.750
8,,121.528,53.500,42.000,75.000,99.462,25.345
9,,121.528,53.103,42.000,81.000,80.538,25.345
10,,190.972,53.244,40.156,74.444,90.000,41.690
11,,173.611,9.729,0.922,36.667,83.660,36.218
12,,156.250,28.748,23.889,38.000,90.000,31.975
13,,173.611,45.025,28.012,69.226,57.995,38.138
14,,121.528,59.320,51.241,73.444,90.000,23.611
15,,243.056,45.238,14.000,77.333,90.000,54.167
16,Mean,174.769,37.231,25.229,61.526,84.851,37.643
17,SD,36.219,14.937,15.231,15.247,9.818,8.881
18,Min,121.528,9.729,0.922,36.667,57.995,23.611
19,Max,243.056,59.320,51.241,81.000,99.462,54.167
