 ,Label,Area,Mean,Min,Max,Angle,Length
1,,190.972,26.836,11.271,54.444,-5.194,43.257
2,,190.972,23.536,10.933,48.667,-5.711,41.874
3,,190.972,22.920,14.000,39.333,-5.711,40.493
4,,121.528,35.640,25.593,50.444,0.000,26.389
5,,138.889,36.548,27.143,45.333,0.000,30.556
6,,208.333,45.753,37.030,64.556,0.000,45.917
7,,156.250,19.815,3.778,71.111,0.000,33.333
8,,121.528,48.587,41.130,66.667,0.000,25.039
9,,173.611,48.745,32.123,77.000,-6.340,36.218
10,,138.889,53.380,41.812,60.667,0.000,30.587
11,,156.250,11.668,0.194,47.111,-7.125,35.164
12,,173.611,33.415,18.815,60.667,0.000,37.526
13,,104.167,39.139,35.000,52.889,-26.565,21.155
14,,138.889,64.516,55.714,88.444,8.130,29.299
15,,138.889,49.238,37.492,72.667,0.000,27.778
16,Mean,156.250,37.316,26.135,60.000,-3.234,33.639
17,SD,30.778,14.545,15.889,13.516,7.550,7.254
18,Min,104.167,11.668,0.194,39.333,-26.565,21.155
19,Max,208.333,64.516,55.714,88.444,8.130,45.917
