 ,Label,Area,Mean,Min,Max,Angle,Length
1,,29.665,83.704,73.889,100.000,26.565,7.559
2,,29.665,124.111,87.000,153.333,63.435,6.112
3,,29.665,136.778,115.000,149.000,45.000,6.712
4,,29.665,133.222,104.667,153.000,45.000,7.559
5,,29.665,183.389,174.667,199.833,45.000,6.712
6,,29.665,71.917,54.000,84.333,63.435,6.112
7,,29.665,125.000,94.000,141.556,63.435,6.712
8,,29.665,114.259,109.000,124.778,26.565,5.929
9,,19.777,77.167,77.000,77.333,45.000,3.779
10,,19.777,92.167,87.333,97.000,45.000,4.322
11,,39.554,97.565,68.333,112.667,26.565,8.451
12,,29.665,121.148,110.333,134.333,45.000,6.712
13,,19.777,38.000,34.000,42.000,90.000,3.145
14,Mean,28.144,107.571,91.479,120.705,48.462,6.140
15,SD,5.485,36.525,34.299,41.090,18.047,1.543
16,Min,19.777,38.000,34.000,42.000,26.565,3.145
17,Max,39.554,183.389,174.667,199.833,90.000,8.451
