 ,Label,Area,Mean,Min,Max,Angle,Length
1,,98.885,27.644,1.864,107.000,54.462,27.051
2,,148.327,12.765,0.000,77.333,68.962,43.799
3,,148.327,12.956,8.527E-14,89.667,59.744,42.784
4,,168.104,34.529,3.208,144.000,45.000,49.709
5,,158.215,67.387,6.604,115.556,45.000,45.954
6,,187.881,9.180,0.000,88.333,38.157,55.831
7,,177.992,10.978,0.216,79.333,42.709,54.928
8,,148.327,52.995,12.734,106.333,41.987,43.887
9,,197.769,8.324,0.000,86.000,45.000,58.558
10,,138.438,103.959,0.517,235.972,45.000,42.254
11,,187.881,6.585,0.000,46.000,47.291,55.634
12,,177.992,82.876,0.000,236.536,42.709,54.112
13,,207.658,13.219,0.000,70.444,49.086,61.559
14,,158.215,14.056,0.000,69.000,61.699,46.877
15,Mean,164.572,32.675,1.796,110.822,49.058,48.781
16,SD,28.132,31.690,3.666,58.104,8.848,8.917
17,Min,98.885,6.585,0.000,46.000,38.157,27.051
18,Max,207.658,103.959,12.734,236.536,68.962,61.559
