 ,Label,Area,Mean,Min,Max,Angle,Length
1,,177.992,20.638,0.686,117.667,-6.710,53.827
2,,158.215,15.169,0.133,98.333,-28.301,45.942
3,,128.550,22.283,1.185,101.667,-37.875,36.687
4,,168.104,35.675,7.542,106.667,-39.806,49.709
5,,177.992,49.130,22.874,84.333,-37.569,52.879
6,,197.769,11.270,0.034,69.444,-49.086,60.260
7,,177.992,19.667,0.569,104.556,-47.291,55.028
8,,138.438,44.089,11.598,93.667,-45.000,42.254
9,,197.769,9.644,0.000,80.667,-42.879,59.295
10,,148.327,77.278,6.851,180.972,-50.711,43.091
11,,187.881,12.061,0.000,90.333,-51.843,55.988
12,,177.992,60.440,0.000,234.889,-42.709,53.386
13,,187.881,19.945,0.296,115.000,-47.291,56.408
14,,148.327,26.034,0.000,137.444,-36.027,44.484
15,Mean,169.516,30.237,3.698,115.403,-40.221,50.660
16,SD,21.891,20.448,6.636,43.964,11.619,7.093
17,Min,128.550,9.644,0.000,69.444,-51.843,36.687
18,Max,197.769,77.278,22.874,234.889,-6.710,60.260
