x,y,z,d,N,Mr,Hc,Hcr
10,50,50,10,10,0.12263106,0.0118,8.71404082267316e-05
20,20,20,0,1,0.86248962,0.0108,0.0122679903309371
20,20,20,1,10,0.50293089,0.0429,0.0520959658240187
20,20,20,2,10,0.50667791,0.038,0.0470460232616818
20,20,20,3,10,0.49949922,0.0354,0.0420639771653017
20,20,20,5,10,0.49090137,0.0298,0.0370420438346825
20,20,20,7,10,0.47424226,0.0243,0.0320236528599126
20,20,20,10,10,0.44963269,0.0192,0.0231856709083641
20,20,20,15,10,0.42603884,0.0135,0.016960040293739
20,20,20,20,10,0.4425624,0.0115,NaN
20,20,20,30,10,0.73371136,0.00989999999999996,NaN
20,20,20,50,10,0.85523474,0.00969999999999999,NaN
20,20,20,70,10,0.85975947,0.0102,NaN
20,20,20,100,10,0.86166027,0.01,NaN
20,50,50,10,10,0.03028432,0.00370000000000004,1.69580001838047e-05
28,20,20,0,1,0.4934302,0.0188,NaN
28,20,20,1,10,0.49090577,0.0704,NaN
28,20,20,2,10,0.49076185,0.0688,NaN
28,20,20,3,10,0.49074867,0.0648,NaN
28,20,20,5,10,0.49075717,0.0608,NaN
28,20,20,7,10,0.4907859,0.0563,NaN
28,20,20,10,10,0.4908879,0.0502,NaN
28,20,20,15,10,0.49082243,0.0407,NaN
28,20,20,20,10,0.49076434,0.0345,NaN
28,20,20,30,10,0.491006,0.0276,NaN
28,20,20,50,10,0.49068231,0.0224,NaN
28,20,20,70,10,0.49150575,0.0205,NaN
28,20,20,100,10,0.49220822,0.0194,NaN
30,30,30,0,1,0.86726242,0.0103,0.0122366540145952
30,30,30,1,10,0.49248344,0.0568,0.0664650193586481
30,30,30,2,10,0.4921109,0.0521,0.0621652130793556
30,30,30,3,10,0.49237334,0.0472,0.0571619064248774
30,30,30,5,10,0.50014806,0.0406,0.0509151022099454
30,30,30,7,10,0.50877276,0.0347,0.0425113662195646
30,30,30,10,10,0.5070846,0.0285,0.0370430947189526
30,30,30,15,10,0.48257362,0.0206,0.027052882104054
30,30,30,20,10,0.45562405,0.0165,0.0219788196240042
30,30,30,30,10,0.4600933,0.0115,0.0169611726650896
30,30,30,50,10,0.83287631,0.0101,0.0122973976025005
30,30,30,70,10,0.85383993,0.00950000000000001,0.012248680438096
30,30,30,100,10,0.86061167,0.00980000000000003,0.0122035228947349
30,50,50,10,10,0.17816117,0.00240000000000001,0.00225708046072661
33,30,30,0,1,0.82442248,0.00819999999999999,NaN
33,30,30,1,10,0.49089121,0.0651,NaN
33,30,30,2,10,0.49079758,0.062,NaN
33,30,30,3,10,0.49067452,0.0577,NaN
33,30,30,5,10,0.49063877,0.0511,NaN
33,30,30,7,10,0.49083449,0.0454000000000001,NaN
33,30,30,10,10,0.49287126,0.0382,NaN
33,30,30,15,10,0.50642274,0.0291,NaN
33,30,30,20,10,0.50769809,0.0254,NaN
