x,y,z,d,N,a,Mr,Mrx,Mry,Mrz,Hc,Hsw,Hsw_file1,Hsw_file2
10,50,50,10,10,1,-0.2941,-0.000572,-0.281918,-0.282027,0.0144,-0.000299999999999967,-10,0
10,50,50,10,10,2,-0.12143,0.00019,0.100363,-0.148193,0.0106,0,0,1
10,50,50,10,10,3,-0.068361,-0.000329,-0.088829,-0.089496,0.0109,0,0,1
10,50,50,10,10,4,-0.114649,0.000391,0.089402,-0.088735,0.00939999999999996,0.000200000000000033,0,1
10,50,50,10,10,5,-0.057785,-0.000302,0.004006,-0.093659,0.00680000000000003,0,0,1
10,50,50,10,10,6,-0.112394,0.000707,0.089176,-0.089185,0.00930000000000003,-0.000400000000000011,-10,0
10,50,50,10,10,7,-0.07477,3.5e-05,-0.08969,-0.08982,0.0113,0,0,1
10,50,50,10,10,8,-0.165124,0.000294,0.191192,-0.134573,0.0111,-9.9999999999989e-05,-10,0
10,50,50,10,10,9,-0.092486,4.4e-05,0.004106,-0.093585,0.00480000000000003,-0.0005,-10,0
10,50,50,10,10,10,-0.152719,-4.6e-05,-0.191316,-0.134233,0.013,0,0,1
10,50,50,10,10,11,-0.017271,1.9e-05,0.092206,0.003897,0.0035,-9.9999999999989e-05,-10,0
10,50,50,10,10,12,-0.120041,0.000722,0.140779,-0.141227,0.0216,0.000200000000000033,0,1
10,50,50,10,10,13,-0.115037,-0.000463,-0.135002,-0.191658,0.0131,-0.000199999999999978,-10,0
10,50,50,10,10,14,-0.121157,0.000713,0.089179,-0.08927,0.00950000000000001,-0.000599999999999989,-10,0
10,50,50,10,10,15,-0.142181,-0.000673,-0.000183,-0.184061,0.0118,0.000200000000000033,0,1
10,50,50,10,10,16,-0.030322,0.000279,0.094076,-0.141139,0.00589999999999996,0,0,1
10,50,50,10,10,17,-0.119948,-0.000117,-0.101931,-0.093889,0.0104,0,0,1
10,50,50,10,10,18,-0.120646,3.6e-05,-0.08963,-0.089842,0.00950000000000001,0.000200000000000033,0,1
10,50,50,10,10,19,-0.227127,0.000597,0.138782,-0.201047,0.00919999999999999,-0.0045,-10,0
10,50,50,10,10,20,-0.09721,3.2e-05,0.10308,0.00152,0.0127,0,0,1
10,50,50,10,10,21,-0.154652,-0.000125,-0.14074,-0.141288,0.0229,9.9999999999989e-05,0,1
10,50,50,10,10,22,-0.111199,0.000713,0.089143,-0.089278,0.00989999999999996,0.000300000000000022,0,1
10,50,50,10,10,23,-0.125364,2.7e-05,-0.089584,-0.08981,0.0096,0,0,1
10,50,50,10,10,24,-0.220934,0.000438,0.200262,-0.138443,0.0091,0.000800000000000023,0,1
10,50,50,10,10,25,-0.075269,-0.000117,0.103013,0.001471,0.0144,0,0,1
10,50,50,10,10,26,-0.100834,0.000229,-0.104126,7e-05,0.0129,9.9999999999989e-05,0,1
10,50,50,10,10,27,-0.156173,0.0003,0.093817,-0.141689,0.0121,-0.000400000000000011,-10,0
10,50,50,10,10,28,-0.072411,3.4e-05,-0.08962,-0.08985,0.0112,0,0,1
10,50,50,10,10,29,-0.090881,0.000157,-0.070087,-0.090219,0.00800000000000001,9.9999999999989e-05,0,1
10,50,50,10,10,30,-0.124885,2.6e-05,-0.089704,-0.089751,0.0096,-9.9999999999989e-05,-10,0
10,50,50,10,10,31,-0.084199,0.000438,-0.003788,-0.093387,0.00480000000000003,0.000200000000000033,0,1
10,50,50,10,10,32,-0.198254,-0.000714,-0.134119,-0.192371,0.0114,-0.000400000000000011,-10,0
10,50,50,10,10,33,-0.099581,8.9e-05,-0.103095,0.001372,0.0127,-9.9999999999989e-05,-10,0
10,50,50,10,10,34,-0.116088,0.000139,0.089446,-0.0889,0.00939999999999996,-9.9999999999989e-05,-10,0
10,50,50,10,10,35,-0.217093,0.000439,0.200308,-0.138444,0.0091,0.000300000000000022,0,1
10,50,50,10,10,36,-0.105022,0.000404,0.089112,-0.088942,0.00919999999999999,9.9999999999989e-05,0,1
10,50,50,10,10,37,-0.102076,0.000599,0.090394,-0.070827,0.0111,-0.0015,-10,0
10,50,50,10,10,38,-0.104551,-0.000898,-0.181981,0.000807,0.0106,0.000200000000000033,0,1
10,50,50,10,10,39,-0.126345,3.6e-05,-0.089618,-0.089816,0.0096,-0.000299999999999967,-10,0
10,50,50,10,10,40,-0.062414,0.000574,0.08909,-0.089257,0.0106,-0.000199999999999978,-10,0
10,50,50,10,10,41,-0.109677,0.00039,0.0894,-0.088694,0.00930000000000003,-0.000199999999999978,-10,0
10,50,50,10,10,42,-0.206611,-9.7e-05,-0.20007,-0.138511,0.0129,-9.9999999999989e-05,-10,0
10,50,50,10,10,43,-0.16301,-0.000128,-0.140738,-0.141291,0.0236,9.9999999999989e-05,0,1
10,50,50,10,10,44,-0.079172,3.7e-05,-0.089505,-0.089915,0.0115,0,0,1
10,50,50,10,10,45,-0.13281,0.000697,0.100213,-0.091956,0.0139,0.00109999999999999,1,2
10,50,50,10,10,46,-0.155321,0.000302,0.093774,-0.141677,0.0122,0.0025,2,3
10,50,50,10,10,47,-0.063279,0.000598,0.089298,-0.089001,0.0107,9.9999999999989e-05,0,1
10,50,50,10,10,48,-0.119009,3.7e-05,-0.089596,-0.089847,0.00939999999999996,-9.9999999999989e-05,-10,0
10,50,50,10,10,49,-0.080421,-0.000333,-0.088937,-0.089459,0.00850000000000001,0,0,1
10,50,50,10,10,50,-0.103828,0.000672,0.089137,-0.089224,0.0091,-0.000299999999999967,-10,0
10,50,50,10,10,51,-0.082006,-0.0001,-0.089827,-0.089558,0.0116,-9.9999999999989e-05,-10,0
10,50,50,10,10,52,-0.093347,0.000712,0.089128,-0.089267,0.00830000000000003,0.000200000000000033,0,1
10,50,50,10,10,53,-0.225502,-0.000108,-0.20005,-0.13851,0.0132,0.00130000000000002,1,2
10,50,50,10,10,54,-0.147099,-0.000123,-0.140769,-0.141258,0.0216,0,0,1
10,50,50,10,10,55,-0.205565,-0.00068,-0.136188,-0.19127,0.014,-0.00209999999999999,-10,0
10,50,50,10,10,56,-0.098381,0.000714,0.089133,-0.089299,0.00950000000000001,-0.000299999999999967,-10,0
10,50,50,10,10,57,-0.031299,0.000278,0.001366,-0.103817,0.00639999999999996,0,0,1
10,50,50,10,10,58,-0.075437,0.000714,0.089136,-0.089257,0.0112,-0.000199999999999978,-10,0
10,50,50,10,10,59,-0.094169,0.00037,0.08922,-0.088854,0.00889999999999996,-0.000199999999999978,-10,0
10,50,50,10,10,60,-0.021951,-8.1e-05,0.092059,0.003856,0.00440000000000002,0,0,1
10,50,50,10,10,61,-0.115491,3.7e-05,-0.089574,-0.089871,0.00939999999999996,-9.9999999999989e-05,-10,0
10,50,50,10,10,62,-0.012602,0.000498,0.14071,-0.14129,0.00259999999999999,9.9999999999989e-05,0,1
10,50,50,10,10,63,-0.341863,2.4e-05,0.281889,-0.282017,0.0142,-9.9999999999989e-05,-10,0
10,50,50,10,10,64,-0.247248,-0.000571,-0.281873,-0.28208,0.014,-0.000199999999999978,-10,0
10,50,50,10,10,65,-0.28448,5.1e-05,0.281978,-0.281917,0.0142,-9.9999999999989e-05,-10,0
10,50,50,10,10,66,-0.099271,0.0006,0.090371,-0.070878,0.011,0.0005,0,1
10,50,50,10,10,67,-0.122587,0.000713,0.089151,-0.089241,0.0104,0.000700000000000034,0,1
10,50,50,10,10,68,-0.125812,0.000713,0.089161,-0.089273,0.0096,-0.00259999999999999,-10,0
10,50,50,10,10,69,-0.349269,2.4e-05,0.28203,-0.281861,0.00969999999999999,-9.9999999999989e-05,-10,0
10,50,50,10,10,70,-0.112963,4.6e-05,-0.089737,-0.089712,0.00930000000000003,-9.9999999999989e-05,-10,0
10,50,50,10,10,71,-0.057526,0.000198,-0.09272,0.003662,0.00680000000000003,0,0,1
10,50,50,10,10,72,-0.123757,-0.000678,-0.136078,-0.191366,0.0151,9.9999999999989e-05,0,1
10,50,50,10,10,73,-0.059493,0.000686,0.089166,-0.089204,0.0104,-0.000199999999999978,-10,0
10,50,50,10,10,74,-0.045999,0.000704,0.140715,-0.141285,0.0096,9.9999999999989e-05,0,1
10,50,50,10,10,75,-0.109092,0.000116,-0.140644,-0.22445,0.0155,0,0,1
10,50,50,10,10,76,-0.11846,-1.4e-05,-0.089574,-0.089816,0.00939999999999996,-9.9999999999989e-05,-10,0
10,50,50,10,10,77,-0.070517,-0.000203,0.103048,0.001564,0.0134,0,0,1
10,50,50,10,10,78,-0.118924,0.000713,0.089135,-0.089265,0.00950000000000001,-0.000599999999999989,-10,0
10,50,50,10,10,79,-0.118057,0.000713,0.089148,-0.089226,0.00950000000000001,-0.000799999999999967,-10,0
10,50,50,10,10,80,-0.184636,-0.000654,-0.136266,-0.190938,0.0139,0.000200000000000033,0,1
10,50,50,10,10,81,-0.068211,0.000384,0.089373,-0.088732,0.0109,0,0,1
10,50,50,10,10,82,-0.114288,-0.000316,-0.088813,-0.089676,0.00939999999999996,9.9999999999989e-05,0,1
10,50,50,10,10,83,-0.209169,-0.000573,-0.281972,-0.281963,0.0182,9.9999999999989e-05,0,1
10,50,50,10,10,84,-0.063022,0.000284,-0.092797,0.003629,0.0071,0,0,1
10,50,50,10,10,85,-0.101509,-0.000109,-0.191279,-0.134462,0.0182,-9.9999999999989e-05,-10,0
10,50,50,10,10,86,-0.112621,4e-05,-0.089624,-0.089837,0.00930000000000003,0,0,1
10,50,50,10,10,87,-0.13444,-2e-05,-0.191425,-0.134941,0.0123,-9.9999999999989e-05,-10,0
10,50,50,10,10,88,-0.089689,0.000249,0.001369,-0.103856,0.0155,9.9999999999989e-05,0,1
10,50,50,10,10,89,-0.100462,-0.000126,-0.089608,-0.089764,0.00900000000000001,-9.9999999999989e-05,-10,0
10,50,50,10,10,90,-0.175716,-0.00018,-0.140724,-0.141329,0.0236,-0.000599999999999989,-10,0
10,50,50,10,10,91,-0.178672,0.00023,0.135302,-0.190847,0.0105,0,0,1
10,50,50,10,10,92,-0.099925,0.000599,0.09037,-0.070882,0.0113,0.0005,0,1
10,50,50,10,10,93,-0.093896,0.000497,0.140704,-0.141295,0.0195,9.9999999999989e-05,0,1
10,50,50,10,10,94,-0.056149,-0.000331,-0.088957,-0.089277,0.0102,0,0,1
10,50,50,10,10,95,-0.122235,9.2e-05,-0.093744,-0.103096,0.0141,0,0,1
10,50,50,10,10,96,-0.165644,-0.000383,0.182217,0.000142,0.0122,9.9999999999989e-05,0,1
10,50,50,10,10,97,-0.193868,0.000211,0.134993,-0.191337,0.0114,0,0,1
10,50,50,10,10,98,-0.083125,-9.6e-05,0.092435,0.004107,0.00480000000000003,-9.9999999999989e-05,-10,0
10,50,50,10,10,99,-0.101999,0.0006,0.090337,-0.070954,0.0114,0.000800000000000023,0,1
10,50,50,10,10,100,-0.079542,-0.000289,-0.088962,-0.08944,0.00950000000000001,0,0,1
20,50,50,10,10,1,0.013924,9e-06,-0.093874,0.045174,-0.000599999999999989,0,0,1
20,50,50,10,10,2,-0.002326,-0.000134,0.093224,0.045526,0.000300000000000022,-9.9999999999989e-05,-10,0
20,50,50,10,10,3,0.000635,0.000339,0.000487,0.000438,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,4,2.5e-05,-0.000174,2.4e-05,-2e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,5,0.00567,-0.000341,-0.09377,0.045189,-0.000199999999999978,0,0,1
20,50,50,10,10,6,-0.000118,-0.000173,3.6e-05,-3.1e-05,9.9999999999989e-05,0,0,1
20,50,50,10,10,7,0.000128,-0.000249,-0.000104,-6.3e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,8,-0.12582,-0.000131,0.139979,-0.140251,0.0167,0,0,1
20,50,50,10,10,9,-0.097543,-0.000414,0.000555,-0.098259,0.0132,0.00120000000000003,1,2
20,50,50,10,10,10,0.01273,-7.7e-05,0.044748,-0.093941,-0.0005,0,0,1
20,50,50,10,10,11,-0.025286,-0.000207,0.100473,-0.101589,0.00190000000000001,0,0,1
20,50,50,10,10,12,-0.118684,-0.000158,0.139973,-0.140257,0.015,-9.9999999999989e-05,-10,0
20,50,50,10,10,13,0.010594,-2.6e-05,-0.093943,0.045122,-0.0005,-9.9999999999989e-05,-10,0
20,50,50,10,10,14,-0.031403,9.5e-05,-0.04549,-0.09211,0.00380000000000003,-9.9999999999989e-05,-10,0
20,50,50,10,10,15,-0.116244,-0.000158,0.14003,-0.14025,0.0144,0,0,1
20,50,50,10,10,16,-0.022789,-0.000434,0.101581,-0.100812,0.00180000000000002,-9.9999999999989e-05,-10,0
20,50,50,10,10,17,0.000184,0.000205,0.000114,7.4e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,18,0.000113,0.000197,0.000116,7.5e-05,0,0.000200000000000033,0,1
20,50,50,10,10,19,6.6e-05,0.000173,-5.5e-05,5e-05,0,-0.000599999999999989,-10,0
20,50,50,10,10,20,-0.092365,-0.00027,0.097998,0.000793,0.0122,-9.9999999999989e-05,-10,0
20,50,50,10,10,21,0.000139,0.000152,0.000131,9.3e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,22,-0.043591,0.000376,-0.045434,-0.092176,0.00420000000000004,0,0,1
20,50,50,10,10,23,0.000112,0.000232,0.000123,8.3e-05,0,9.9999999999989e-05,0,1
20,50,50,10,10,24,-1.6e-05,0.000181,-1e-06,-3e-06,9.9999999999989e-05,9.9999999999989e-05,0,1
20,50,50,10,10,25,-0.067979,0.000612,0.093663,-0.000721,0.00680000000000003,-9.9999999999989e-05,-10,0
20,50,50,10,10,26,-0.094959,-0.000486,-0.098248,0.000473,0.0126,-0.000199999999999978,-10,0
20,50,50,10,10,27,9.5e-05,0.000186,-5e-05,4.5e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,28,0.000105,-0.000213,-0.000104,-6.4e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,29,-8.9e-05,-0.000205,-0.000128,-8.7e-05,9.9999999999989e-05,-9.9999999999989e-05,-10,0
20,50,50,10,10,30,-0.021691,0.0003,-0.093662,0.045271,0.003,-0.000199999999999978,-10,0
20,50,50,10,10,31,-5.4e-05,0.000189,-2.7e-05,2.3e-05,9.9999999999989e-05,0,0,1
20,50,50,10,10,32,-7.6e-05,-9.1e-05,-0.000136,-9.6e-05,9.9999999999989e-05,-9.9999999999989e-05,-10,0
20,50,50,10,10,33,-0.148199,-0.000556,-0.14002,-0.140231,0.0185,9.9999999999989e-05,0,1
20,50,50,10,10,34,9.4e-05,0.000185,-2.3e-05,1.9e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,35,-0.117231,-0.000254,0.096428,-0.138315,0.0138,-9.9999999999989e-05,-10,0
20,50,50,10,10,36,-0.000109,0.000233,-3e-06,-1e-06,9.9999999999989e-05,0,0,1
20,50,50,10,10,37,-2.8e-05,-0.000209,1.4e-05,-9e-06,9.9999999999989e-05,0.000200000000000033,0,1
20,50,50,10,10,38,-0.092961,-0.000144,-0.140034,-0.140217,0.00880000000000003,0,0,1
20,50,50,10,10,39,5.2e-05,0.000185,5.3e-05,1.4e-05,0,-0.000400000000000011,-10,0
20,50,50,10,10,40,-0.003154,-4.4e-05,0.093422,0.045399,0.000300000000000022,0,0,1
20,50,50,10,10,41,-0.000111,-0.000144,3.7e-05,-3.2e-05,9.9999999999989e-05,0,0,1
20,50,50,10,10,42,-0.110614,-0.000514,-0.096533,-0.138796,0.0134,-0.000199999999999978,-10,0
20,50,50,10,10,43,-0.00021,-0.000209,-0.000151,-0.00011,9.9999999999989e-05,0,0,1
20,50,50,10,10,44,-0.00465,-9.4e-05,0.044755,-0.093933,0.0005,-9.9999999999989e-05,-10,0
20,50,50,10,10,45,8.4e-05,-0.0002,-4.4e-05,4e-05,0,-0.000199999999999978,-10,0
